Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
COMMUNES INCONNUES INSEE;XXXXX;5996;1231;15;1026;359;355
L'ABERGEMENT-CLEMENCIAT;01001;80;18;;13;8;
L'ABERGEMENT-DE-VAREY;01002;33;12;;;;
AMBERIEU-EN-BUGEY;01004;2621;637;10;518;253;135
AMBERIEUX-EN-DOMBES;01005;224;73;;51;47;18
AMBLEON;01006;10;;;;;
AMBRONAY;01007;361;118;;91;70;31
AMBUTRIX;01008;94;39;;22;30;8
ANDERT-ET-CONDON;01009;36;7;;;;
ANGLEFORT;01010;133;26;;15;14;7
APREMONT;01011;49;14;;;8;6
ARANC;01012;34;9;;;;
ARANDAS;01013;10;;;;;
ARBENT;01014;523;108;5;89;28;27
ARBIGNIEU;01015;55;14;;;6;
ARBIGNY;01016;55;18;;;11;5
ARGIS;01017;64;22;;;7;7
ARMIX;01019;;;;;;
ARS-SUR-FORMANS;01021;198;58;;45;33;18
ARTEMARE;01022;212;37;;28;16;6
ASNIERES-SUR-SAONE;01023;11;;;;;
ATTIGNAT;01024;473;159;;111;101;48
BAGE-LA-VILLE;01025;420;138;;102;79;44
BAGE-LE-CHATEL;01026;121;30;;25;17;7
BALAN;01027;252;109;;88;50;27
BANEINS;01028;66;26;;20;14;5
BEAUPONT;01029;160;31;;24;17;11
BEAUREGARD;01030;163;44;;36;18;6
BELLIGNAT;01031;772;167;7;146;44;46
BELIGNEUX;01032;524;197;6;148;78;48
BELLEGARDE-SUR-VALSERINE;01033;2048;395;8;348;81;93
BELLEY;01034;1773;328;;290;85;78
BELLEYDOUX;01035;39;12;;;;
BELMONT-LUTHEZIEU;01036;62;17;;10;9;
BENONCES;01037;24;7;;;;
BENY;01038;79;26;;19;16;11
BEON;01039;66;17;;;11;
BEREZIAT;01040;62;22;;15;17;5
BETTANT;01041;92;34;;26;19;7
BEY;01042;31;10;;;;
BEYNOST;01043;579;150;;80;91;45
BILLIAT;01044;76;20;;13;11;5
BIRIEUX;01045;38;18;;9;;
