Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
BIZIAT;01046;108;39;;31;27;7
BLYES;01047;140;36;;24;19;10
LA BOISSE;01049;375;116;6;68;57;32
BOISSEY;01050;45;18;;;10;
BOLOZON;01051;5;;;;;
BOULIGNEUX;01052;27;10;;;;
BOURG-EN-BRESSE;01053;9316;1418;34;1244;306;329
BOURG-SAINT-CHRISTOPHE;01054;173;75;;43;48;18
BOYEUX-SAINT-JEROME;01056;42;16;;;;
BOZ;01057;76;24;;15;17;7
BREGNIER-CORDON;01058;121;22;;;8;9
BRENAZ;01059;9;;;;;
BRENOD;01060;67;23;;14;18;
BRENS;01061;147;43;;30;20;15
BRESSOLLES;01062;96;38;;22;27;8
BRION;01063;60;9;;;;
BRIORD;01064;154;37;;31;12;11
BUELLAS;01065;218;63;;51;35;18
LA BURBANCHE;01066;7;;;;;
CEIGNES;01067;34;12;;7;;
CERDON;01068;135;26;;;11;6
CERTINES;01069;210;57;;42;39;17
CESSY;01071;358;94;;58;35;26
CEYZERIAT;01072;499;103;5;73;41;27
CEYZERIEU;01073;110;31;;24;16;9
CHALAMONT;01074;408;100;;76;58;24
CHALEINS;01075;180;62;;47;38;16
CHALEY;01076;17;;;;;
CHALLES-LA-MONTAGNE;01077;21;12;;;6;
CHALLEX;01078;73;23;;17;12;7
CHAMPAGNE-EN-VALROMEY;01079;158;21;;15;11;7
CHAMPDOR;01080;54;22;;11;14;
CHAMPFROMIER;01081;98;25;;16;18;
CHANAY;01082;57;16;;;9;6
CHANEINS;01083;124;38;;24;30;11
CHANOZ-CHATENAY;01084;117;39;;34;21;10
LA CHAPELLE-DU-CHATELARD;01085;42;18;;;13;7
CHARIX;01087;34;;;;;
CHARNOZ-SUR-AIN;01088;125;33;;19;23;7
CHATEAU-GAILLARD;01089;281;97;;68;58;29
CHATENAY;01090;38;15;;8;;
CHATILLON-EN-MICHAILLE;01091;369;86;;60;39;30
CHATILLON-LA-PALUD;01092;224;75;;45;48;17
CHATILLON-SUR-CHALARONNE;01093;805;149;5;125;62;42
CHAVANNES-SUR-REYSSOUZE;01094;85;28;;20;20;14
CHAVANNES-SUR-SURAN;01095;104;30;;23;17;6
CHAVEYRIAT;01096;127;38;;32;20;11
CHAVORNAY;01097;22;8;;;;
CHAZEY-BONS;01098;105;24;;19;14;6
CHAZEY-SUR-AIN;01099;184;63;;49;37;18
CHEIGNIEU-LA-BALME;01100;15;;;;;
CHEVILLARD;01101;14;5;;;;
CHEVROUX;01102;131;50;;41;31;17
CHEVRY;01103;90;17;;8;9;
CHEZERY-FORENS;01104;45;9;;;;
CIVRIEUX;01105;178;51;;34;33;9
CIZE;01106;19;8;;;;
CLEYZIEU;01107;15;5;;;;
COLIGNY;01108;176;35;;25;13;7
COLLONGES;01109;196;38;;22;15;7
COLOMIEU;01110;14;;;;;
CONAND;01111;14;8;;;;
CONDAMINE;01112;53;15;;;9;
CONDEISSIAT;01113;107;35;;30;19;10
CONFORT;01114;91;14;;8;5;6
CONFRANCON;01115;187;67;;54;39;21
CONTREVOZ;01116;57;13;;;6;
CONZIEU;01117;16;;;;;
CORBONOD;01118;238;35;;27;17;9
CORCELLES;01119;23;9;;;;
CORLIER;01121;12;;;;;
CORMARANCHE-EN-BUGEY;01122;89;23;;17;10;10
CORMORANCHE-SUR-SAONE;01123;136;39;;25;25;15
CORMOZ;01124;86;28;;21;20;7
CORVEISSIAT;01125;75;22;;13;16;
COURMANGOUX;01127;62;21;;16;13;7
COURTES;01128;32;7;;;;
CRANS;01129;22;9;;;;
CRAS-SUR-REYSSOUZE;01130;194;70;;50;57;23
CRESSIN-ROCHEFORT;01133;42;13;;;7;
CROTTET;01134;223;65;;45;47;17
CROZET;01135;127;23;;11;9;6
CRUZILLES-LES-MEPILLAT;01136;106;29;;22;21;11
CULOZ;01138;444;84;;74;11;17
CURCIAT-DONGALON;01139;59;22;;14;12;
CURTAFOND;01140;101;28;;;18;9
CUZIEU;01141;43;14;;6;9;
DAGNEUX;01142;639;210;7;148;110;61
DIVONNE-LES-BAINS;01143;612;86;;58;26;17
DOMMARTIN;01144;117;44;;29;27;13
DOMPIERRE-SUR-VEYLE;01145;161;43;;34;26;9
DOMPIERRE-SUR-CHALARONNE;01146;51;12;;;6;
DOMSURE;01147;52;12;;;;
DORTAN;01148;226;51;;34;28;11
DOUVRES;01149;130;37;;27;23;6
DROM;01150;27;11;;;;
DRUILLAT;01151;126;48;;35;29;12
ECHALLON;01152;76;21;;7;16;
ECHENEVEX;01153;110;25;;11;12;7
ETREZ;01154;118;41;;32;29;13
EVOSGES;01155;13;5;;;;
FARAMANS;01156;97;38;;31;22;14
FAREINS;01157;267;93;;55;55;21
FARGES;01158;65;10;;;;
FEILLENS;01159;393;113;;76;76;30
FERNEY-VOLTAIRE;01160;886;152;8;114;37;31
FLAXIEU;01162;12;;;;;
FOISSIAT;01163;249;64;;45;40;19
FRANCHELEINS;01165;205;75;;53;47;22
FRANS;01166;261;75;5;61;42;25
GARNERANS;01167;78;25;;14;19;7
GENOUILLEUX;01169;85;24;;17;12;
BEARD-GEOVREISSIAT;01170;133;40;;28;21;12
GEOVREISSET;01171;124;31;;21;14;10
GERMAGNAT;01172;23;5;;;;
GEX;01173;1124;246;9;171;78;56
GIRON;01174;15;7;;;;
GORREVOD;01175;109;31;;23;18;6
LE GRAND-ABERGEMENT;01176;;;;;;
GRAND-CORENT;01177;17;5;;;;
GRIEGES;01179;233;61;;46;33;19
GRILLY;01180;42;9;;;;
GROISSIAT;01181;157;48;;34;22;21
GROSLEE;01182;38;9;;;;
GUEREINS;01183;182;70;;42;48;11
HAUTECOURT-ROMANECHE;01184;102;28;;20;16;5
HAUTEVILLE-LOMPNES;01185;594;88;;74;32;22
HOSTIAZ;01186;7;;;;;
HOTONNES;01187;32;14;;;9;5
ILLIAT;01188;70;28;;;20;10
INJOUX-GENISSIAT;01189;122;42;;31;21;12
INNIMOND;01190;14;;;;;
IZENAVE;01191;21;7;;;;
IZERNORE;01192;380;99;;73;55;30
IZIEU;01193;21;;;;;
JASSANS-RIOTTIER;01194;970;226;;167;92;69
JASSERON;01195;275;67;;53;35;25
JAYAT;01196;148;51;;38;36;8
JOURNANS;01197;42;10;;5;;
JOYEUX;01198;34;8;;;;
JUJURIEUX;01199;343;79;;56;47;15
LABALME;01200;30;10;;;;
LAGNIEU;01202;1194;317;11;242;118;73
LAIZ;01203;165;51;;38;36;16
LALLEYRIAT;01204;26;7;;;;
LANCRANS;01205;109;27;;21;9;6
LANTENAY;01206;26;10;;;;
LAPEYROUSE;01207;37;13;;8;7;
LAVOURS;01208;15;;;;;
LEAZ;01209;65;19;;12;8;
LELEX;01210;19;5;;;;
LENT;01211;198;43;;34;22;14
LESCHEROUX;01212;93;34;;;16;11
LEYMENT;01213;186;57;;42;38;14
LEYSSARD;01214;16;5;;;;
LHOPITAL;01215;5;;;;;
LHUIS;01216;138;24;;12;17;5
LOCHIEU;01218;9;;;;;
LOMPNAS;01219;28;8;;;;
LOMPNIEU;01221;8;;;;;
LOYETTES;01224;492;197;;157;100;65
LURCY;01225;46;13;;;;
MAGNIEU;01227;63;15;;;5;6
MAILLAT;01228;74;14;;8;8;
MALAFRETAZ;01229;164;44;;38;26;16
MANTENAY-MONTLIN;01230;34;9;;;;
MANZIAT;01231;226;68;;53;47;22
MARBOZ;01232;281;75;;58;40;21
MARCHAMP;01233;13;;;;;
MARIGNIEU;01234;14;5;;;;
MARLIEUX;01235;179;55;;43;38;15
MARSONNAS;01236;130;42;;31;24;17
MARTIGNAT;01237;235;65;;47;33;18
MASSIEUX;01238;312;88;;52;54;25
MASSIGNIEU-DE-RIVES;01239;71;25;;;11;8
MATAFELON-GRANGES;01240;78;32;;19;18;8
MEILLONNAS;01241;180;41;;29;25;12
MERIGNAT;01242;17;;;;;
MESSIMY-SUR-SAONE;01243;147;42;;26;27;11
MEXIMIEUX;01244;1340;340;8;247;172;88
BOHAS-MEYRIAT-RIGNAT;01245;112;30;;25;18;9
MEZERIAT;01246;307;92;;64;56;25
MIJOUX;01247;31;6;;;;
MIONNAY;01248;261;71;;42;53;16
MIRIBEL;01249;1561;406;7;298;188;99
MISERIEUX;01250;233;76;;43;49;18
MOGNENEINS;01252;86;36;;22;23;14
MONTAGNAT;01254;211;68;;44;40;27
MONTAGNIEU;01255;84;30;;22;11;8
MONTANGES;01257;33;9;;;;
MONTCEAUX;01258;143;38;;24;28;6
MONTCET;01259;85;26;;;16;7
LE MONTELLIER;01260;31;12;;6;6;
MONTHIEUX;01261;84;26;;19;15;12
MONTLUEL;01262;1197;318;8;234;141;78
MONTMERLE-SUR-SAONE;01263;545;133;;89;73;34
MONTRACOL;01264;138;47;;35;33;15
MONTREAL-LA-CLUSE;01265;627;131;;109;43;40
MONTREVEL-EN-BRESSE;01266;392;62;;50;35;14
NURIEUX-VOLOGNAT;01267;127;44;;32;23;14
MURS-ET-GELIGNIEUX;01268;29;10;;;5;5
NANTUA;01269;690;125;;119;16;29
NATTAGES;01271;61;21;;14;14;5
NEUVILLE-LES-DAMES;01272;196;52;;44;22;20
NEUVILLE-SUR-AIN;01273;247;87;;69;45;15
LES NEYROLLES;01274;102;28;;;7;13
NEYRON;01275;307;81;;47;46;22
NIEVROZ;01276;209;73;;51;45;13
NIVOLLET-MONTGRIFFON;01277;15;5;;;;
ONCIEU;01279;8;;;;;
ORDONNAZ;01280;15;7;;;;
ORNEX;01281;349;68;;49;18;18
OUTRIAZ;01282;26;12;;;6;
OYONNAX;01283;4640;871;26;784;144;273
OZAN;01284;88;25;;;15;8
PARCIEUX;01285;148;43;;26;28;14
PARVES;01286;42;13;;;;
PERON;01288;159;39;;18;23;10
PERONNAS;01289;872;159;;130;59;44
PEROUGES;01290;137;40;;24;20;7
PERREX;01291;96;27;;21;17;8
LE PETIT-ABERGEMENT;01292;14;6;;;;
PEYRIAT;01293;17;8;;;;
PEYRIEU;01294;109;34;;27;22;9
PEYZIEUX-SUR-SAONE;01295;99;44;;31;32;16
PIRAJOUX;01296;51;19;;;11;5
PIZAY;01297;89;32;;16;23;5
PLAGNE;01298;9;;;;;
LE PLANTAY;01299;58;23;;15;17;5
LE POIZAT;01300;52;19;;;5;9
POLLIAT;01301;300;89;;74;47;22
POLLIEU;01302;18;;;;;
PONCIN;01303;273;66;;50;32;10
PONT-D'AIN;01304;473;132;5;109;58;41
PONT-DE-VAUX;01305;451;81;;58;44;20
PONT-DE-VEYLE;01306;302;60;;50;27;14
PORT;01307;118;29;;22;13;8
POUGNY;01308;53;14;;;7;
POUILLAT;01309;11;;;;;
PREMEYZEL;01310;143;8;;;;
PREMILLIEU;01311;;;;;;
PRESSIAT;01312;33;7;;;;
PREVESSIN-MOENS;01313;531;122;;83;36;25
PRIAY;01314;225;89;;58;52;18
PUGIEU;01316;23;8;;;;
RAMASSE;01317;36;13;;;8;
RANCE;01318;77;21;;12;14;7
RELEVANT;01319;49;20;;;11;
REPLONGES;01320;472;153;;106;89;51
REVONNAS;01321;125;42;;31;20;8
REYRIEUX;01322;595;137;;96;68;36
REYSSOUZE;01323;137;41;;31;22;15
RIGNIEUX-LE-FRANC;01325;119;45;;30;24;16
ROMANS;01328;106;17;;;9;7
ROSSILLON;01329;16;;;;;
RUFFIEU;01330;12;;;;;
SAINT-ALBAN;01331;20;6;;;;
SAINT-ANDRE-DE-BAGE;01332;87;25;;16;16;5
SAINT-ANDRE-DE-CORCY;01333;401;100;;71;69;29
SAINT-ANDRE-D'HUIRIAT;01334;70;25;;20;16;9
SAINT-ANDRE-LE-BOUCHOUX;01335;51;19;;11;14;
SAINT-ANDRE-SUR-VIEUX-JONC;01336;152;49;;36;30;15
SAINT-BENIGNE;01337;163;49;;32;35;14
SAINT-BENOIT;01338;109;35;;27;17;7
SAINT-BERNARD;01339;145;42;;28;23;10
SAINT-BOIS;01340;12;5;;;;
SAINT-CHAMP;01341;11;;;;;
SAINTE-CROIX;01342;69;17;;;11;
SAINT-CYR-SUR-MENTHON;01343;242;76;;57;52;25
SAINT-DENIS-LES-BOURG;01344;628;140;;100;58;42
SAINT-DENIS-EN-BUGEY;01345;337;99;;74;55;19
SAINT-DIDIER-D'AUSSIAT;01346;121;40;;31;22;9
SAINT-DIDIER-DE-FORMANS;01347;212;53;;37;27;19
SAINT-DIDIER-SUR-CHALARONNE;01348;421;100;;65;66;28
SAINT-ELOI;01349;44;12;;7;;
SAINT-ETIENNE-DU-BOIS;01350;313;83;;63;39;25
SAINT-ETIENNE-SUR-CHALARONNE;01351;227;70;;53;30;17
SAINT-ETIENNE-SUR-REYSSOUZE;01352;64;22;;;11;8
SAINTE-EUPHEMIE;01353;209;62;;43;36;16
SAINT-GENIS-POUILLY;01354;835;174;6;138;37;43
SAINT-GENIS-SUR-MENTHON;01355;49;22;;16;13;10
SAINT-GEORGES-SUR-RENON;01356;31;8;;;;
SAINT-GERMAIN-DE-JOUX;01357;69;15;;;;
SAINT-GERMAIN-LES-PAROISSES;01358;47;17;;;9;5
SAINT-GERMAIN-SUR-RENON;01359;19;7;;;;
SAINT-JEAN-DE-GONVILLE;01360;103;11;;6;;6
SAINT-JEAN-DE-NIOST;01361;174;44;;30;25;17
SAINT-JEAN-DE-THURIGNEUX;01362;101;35;;23;23;17
SAINT-JEAN-LE-VIEUX;01363;205;51;;42;29;17
SAINT-JEAN-SUR-REYSSOUZE;01364;86;24;;18;12;7
SAINT-JEAN-SUR-VEYLE;01365;128;45;;36;18;15
SAINTE-JULIE;01366;138;59;;44;31;17
SAINT-JULIEN-SUR-REYSSOUZE;01367;110;36;;30;11;8
SAINT-JULIEN-SUR-VEYLE;01368;104;33;;22;22;7
SAINT-JUST;01369;106;20;;;7;6
SAINT-LAURENT-SUR-SAONE;01370;401;74;;66;20;15
SAINT-MARCEL;01371;200;64;;35;47;16
SAINT-MARTIN-DE-BAVEL;01372;56;14;;;8;
SAINT-MARTIN-DU-FRENE;01373;124;26;;20;11;
SAINT-MARTIN-DU-MONT;01374;210;68;;50;43;23
SAINT-MARTIN-LE-CHATEL;01375;104;33;;27;21;11
SAINT-MAURICE-DE-BEYNOST;01376;635;161;;127;53;38
SAINT-MAURICE-DE-GOURDANS;01378;327;110;;59;72;21
SAINT-MAURICE-DE-REMENS;01379;105;42;;30;29;10
SAINT-NIZIER-LE-BOUCHOUX;01380;66;14;;;6;
SAINT-NIZIER-LE-DESERT;01381;125;37;;26;28;7
SAINTE-OLIVE;01382;29;14;;6;9;
SAINT-PAUL-DE-VARAX;01383;267;64;;40;43;16
SAINT-RAMBERT-EN-BUGEY;01384;439;102;;88;29;20
SAINT-REMY;01385;123;33;;25;25;9
SAINT-SORLIN-EN-BUGEY;01386;141;54;;29;39;
SAINT-SULPICE;01387;30;13;;;8;6
SAINT-TRIVIER-DE-COURTES;01388;162;33;;;15;10
SAINT-TRIVIER-SUR-MOIGNANS;01389;268;77;;52;51;17
SAINT-VULBAS;01390;140;39;;32;22;7
SALAVRE;01391;22;5;;;;
SAMOGNAT;01392;88;26;;18;21;8
SANDRANS;01393;67;20;;;8;7
SAULT-BRENAZ;01396;170;34;;29;13;
SAUVERNY;01397;70;9;;;;
SAVIGNEUX;01398;169;63;;42;39;16
SEGNY;01399;104;20;;8;6;7
SEILLONNAZ;01400;13;;;;;
SERGY;01401;96;25;;9;15;
SERMOYER;01402;93;29;;23;14;9
SERRIERES-DE-BRIORD;01403;212;53;;44;17;12
SERRIERES-SUR-AIN;01404;8;;;;;
SERVAS;01405;179;52;;43;29;15
SERVIGNAT;01406;16;;;;;
SEYSSEL;01407;144;32;;22;18;8
SIMANDRE-SUR-SURAN;01408;84;26;;20;17;8
SONGIEU;01409;9;;;;;
SONTHONNAX-LA-MONTAGNE;01410;35;13;;7;;
SOUCLIN;01411;37;10;;;;
SULIGNAT;01412;74;25;;18;10;10
SURJOUX;01413;5;;;;;
SUTRIEU;01414;22;;;;;
TALISSIEU;01415;86;17;;;6;7
TENAY;01416;209;41;;35;8;8
THEZILLIEU;01417;44;9;;;;
THIL;01418;126;37;;14;24;9
THOIRY;01419;412;97;;64;40;19
THOISSEY;01420;328;61;;46;30;12
TORCIEU;01421;96;37;;28;24;8
TOSSIAT;01422;170;45;;32;29;12
TOUSSIEUX;01423;89;33;;24;23;11
TRAMOYES;01424;198;52;;20;41;12
LA TRANCLIERE;01425;32;8;;;;
TREFFORT-CUISIAT;01426;307;96;;81;50;23
TREVOUX;01427;1160;299;9;228;105;77
VALEINS;01428;18;6;;;;
VANDEINS;01429;91;25;;18;19;6
VARAMBON;01430;62;20;;14;12;
VAUX-EN-BUGEY;01431;162;40;;31;22;10
VERJON;01432;27;6;;;;
VERNOUX;01433;43;19;;;8;5
VERSAILLEUX;01434;48;21;;16;15;7
VERSONNEX;01435;161;29;;21;6;13
VESANCY;01436;32;10;;5;;
VESCOURS;01437;31;15;;;;8
VESINES;01439;13;5;;;;
VIEU-D'IZENAVE;01441;90;32;;26;17;10
VIEU;01442;33;16;;;9;6
VILLARS-LES-DOMBES;01443;678;165;6;117;103;43
VILLEBOIS;01444;173;45;;29;25;10
VILLEMOTIER;01445;96;35;;29;23;10
VILLENEUVE;01446;199;60;;45;46;14
VILLEREVERSURE;01447;179;42;;35;19;12
VILLES;01448;32;5;;;;
VILLETTE-SUR-AIN;01449;98;30;;21;16;7
VILLIEU-LOYES-MOLLON;01450;481;176;;112;114;50
VIRIAT;01451;841;213;;178;86;64
VIRIEU-LE-GRAND;01452;200;39;;31;12;10
VIRIEU-LE-PETIT;01453;97;6;;;;
VIRIGNIN;01454;193;45;;31;23;11
VONGNES;01456;;;;;;
VONNAS;01457;460;101;;83;42;28
ABBECOURT;02001;79;21;;;9;
ACHERY;02002;74;24;;;11;8
ACY;02003;132;42;;31;26;
AGNICOURT-ET-SECHELLES;02004;26;;;;;
AGUILCOURT;02005;44;17;;11;;5
AISONVILLE-ET-BERNOVILLE;02006;34;;;;;
AIZELLES;02007;13;;;;;
AIZY-JOUY;02008;41;21;;14;11;5
ALAINCOURT;02009;68;19;;;7;
ALLEMANT;02010;25;7;;;;
AMBLENY;02011;138;57;;43;32;12
AMBRIEF;02012;9;;;;;
AMIFONTAINE;02013;47;19;;;8;
AMIGNY-ROUY;02014;101;25;;18;15;6
ANCIENVILLE;02015;8;;;;;
ANDELAIN;02016;31;7;;;;
ANGUILCOURT-LE-SART;02017;43;15;;;;
ANIZY-LE-CHATEAU;02018;325;59;;48;24;8
ANNOIS;02019;45;11;;;5;
ANY-MARTIN-RIEUX;02020;65;18;;13;11;
ARCHON;02021;10;;;;;
ARCY-SAINTE-RESTITUE;02022;61;20;;;8;
ARMENTIERES-SUR-OURCQ;02023;8;;;;;
ARRANCY;02024;5;;;;;
ARTEMPS;02025;45;11;;;;
ARTONGES;02026;19;6;;;;
ASSIS-SUR-SERRE;02027;29;7;;;;
ATHIES-SOUS-LAON;02028;357;99;;64;58;27
ATTILLY;02029;51;17;;10;11;
AUBENCHEUL-AUX-BOIS;02030;41;7;;;;
AUBENTON;02031;110;23;;;;
AUBIGNY-AUX-KAISNES;02032;35;9;;;;
AUBIGNY-EN-LAONNOIS;02033;10;;;;;
AUDIGNICOURT;02034;13;8;;;;
AUDIGNY;02035;40;12;;;;
AUGY;02036;15;7;;;;
AULNOIS-SOUS-LAON;02037;203;56;;41;33;18
LES AUTELS;02038;7;;;;;
AUTREMENCOURT;02039;18;6;;;;
AUTREPPES;02040;23;5;;;;
AUTREVILLE;02041;97;27;;21;11;
AZY-SUR-MARNE;02042;33;11;;;;
BAGNEUX;02043;11;;;;;
BANCIGNY;02044;;;;;;
BARENTON-BUGNY;02046;61;14;;;5;
BARENTON-CEL;02047;14;;;;;
BARENTON-SUR-SERRE;02048;17;8;;;;
BARISIS;02049;96;37;;26;24;6
BARZY-EN-THIERACHE;02050;43;15;;10;9;
BARZY-SUR-MARNE;02051;43;8;;;;
BASSOLES-AULERS;02052;16;;;;;
BAULNE-EN-BRIE;02053;29;6;;;;
BAZOCHES-SUR-VESLES;02054;64;18;;;8;
BEAUME;02055;9;;;;;
BEAUMONT-EN-BEINE;02056;26;11;;;5;
BEAUREVOIR;02057;279;43;;33;19;8
BEAURIEUX;02058;136;41;;30;18;13
BEAUTOR;02059;552;112;;100;26;23
BEAUVOIS-EN-VERMANDOIS;02060;26;11;;;5;
BECQUIGNY;02061;48;16;;;6;
BELLEAU;02062;18;5;;;;
BELLENGLISE;02063;55;15;;;8;
BELLEU;02064;559;113;;85;42;15
BELLICOURT;02065;93;22;;;7;6
BENAY;02066;20;6;;;;
BERGUES-SUR-SAMBRE;02067;22;6;;;;
BERLANCOURT;02068;15;7;;;;
BERLISE;02069;12;;;;;
BERNOT;02070;60;20;;14;12;5
BERNY-RIVIERE;02071;71;23;;11;15;
BERRIEUX;02072;20;14;;;7;
BERRY-AU-BAC;02073;77;24;;14;13;
BERTAUCOURT-EPOURDON;02074;93;37;;24;27;6
BERTHENICOURT;02075;24;7;;;;
BERTRICOURT;02076;26;5;;;;
BERZY-LE-SEC;02077;50;10;;;;
BESME;02078;23;13;;;5;5
BESMONT;02079;12;;;;;
BESNY-ET-LOIZY;02080;45;18;;;8;5
BETHANCOURT-EN-VAUX;02081;91;13;;;;
BEUGNEUX;02082;13;6;;;;
BEUVARDES;02083;93;26;;;12;5
BEZU-LE-GUERY;02084;38;16;;;;5
BEZU-SAINT-GERMAIN;02085;150;59;;42;34;9
BICHANCOURT;02086;146;45;;35;24;10
BIEUXY;02087;;;;;;
BIEVRES;02088;13;;;;;
BILLY-SUR-AISNE;02089;123;29;;22;16;9
BILLY-SUR-OURCQ;02090;29;10;;;5;
BLANZY-LES-FISMES;02091;8;;;;;
BLERANCOURT;02093;211;49;;36;17;12
BLESMES;02094;55;12;;;7;
BOHAIN-EN-VERMANDOIS;02095;1319;221;7;207;24;27
BOIS-LES-PARGNY;02096;26;9;;;;
BONCOURT;02097;32;13;;;;
BONNEIL;02098;37;6;;;;
BONNESVALYN;02099;27;6;;;;
BONY;02100;21;9;;;;
BOSMONT-SUR-SERRE;02101;17;6;;;;
BOUCONVILLE-VAUCLAIR;02102;25;9;;;;
BOUE;02103;221;55;;44;14;10
BOUFFIGNEREUX;02104;15;6;;;;
BOURESCHES;02105;25;8;;;;
BOURG-ET-COMIN;02106;122;33;;26;10;9
BOURGUIGNON-SOUS-COUCY;02107;13;5;;;;
BOURGUIGNON-SOUS-MONTBAVIN;02108;22;5;;;;
LA BOUTEILLE;02109;68;14;;;8;
BRAINE;02110;387;94;;79;31;19
BRANCOURT-EN-LAONNOIS;02111;105;32;;22;21;7
BRANCOURT-LE-GRAND;02112;89;22;;14;15;5
BRASLES;02114;191;41;;28;19;7
BRAYE-EN-LAONNOIS;02115;25;7;;;;
BRAYE-EN-THIERACHE;02116;22;;;;;
BRAY-SAINT-CHRISTOPHE;02117;8;;;;;
BRAYE;02118;13;;;;;
BRECY;02119;41;12;;7;6;
BRENELLE;02120;29;10;;;;
BRENY;02121;37;8;;;;
BRIE;02122;6;;;;;
BRISSAY-CHOIGNY;02123;36;11;;;;
BRISSY-HAMEGICOURT;02124;87;23;;;14;7
BRUMETZ;02125;29;11;;;;6
BRUNEHAMEL;02126;70;16;;;5;
BRUYERES-SUR-FERE;02127;18;6;;;;
BRUYERES-ET-MONTBERAULT;02128;206;48;;33;28;8
BRUYS;02129;;;;;;
BUCILLY;02130;24;6;;;;
BUCY-LE-LONG;02131;234;64;;53;32;13
BUCY-LES-CERNY;02132;28;10;;;;
BUCY-LES-PIERREPONT;02133;53;16;;;;
BUIRE;02134;129;31;;22;9;6
BUIRONFOSSE;02135;197;40;;35;15;9
BURELLES;02136;16;;;;;
BUSSIARES;02137;19;8;;;;
BUZANCY;02138;23;7;;;;
CAILLOUEL-CREPIGNY;02139;47;22;;16;8;7
CAMELIN;02140;61;19;;14;11;7
LA CAPELLE;02141;404;61;;48;17;8
CASTRES;02142;33;9;;;;
LE CATELET;02143;33;9;;;;
CAULAINCOURT;02144;20;6;;;;
CAUMONT;02145;69;21;;13;12;
CELLES-LES-CONDE;02146;9;;;;;
LA CELLE-SOUS-MONTMIRAIL;02147;18;5;;;;
CELLES-SUR-AISNE;02148;31;9;;;;
CERIZY;02149;9;;;;;
CERNY-EN-LAONNOIS;02150;10;;;;;
CERNY-LES-BUCY;02151;13;;;;;
CERSEUIL;02152;9;;;;;
CESSIERES;02153;64;16;;;6;
CHACRISE;02154;53;14;;;;7
CHAILLEVOIS;02155;28;;;;;
CHALANDRY;02156;29;9;;;;
CHAMBRY;02157;98;23;;18;12;
CHAMOUILLE;02158;44;9;;;;
CHAMPS;02159;29;10;;;5;
CHAOURSE;02160;93;22;;17;9;5
LA CHAPELLE-MONTHODON;02161;12;;;;;
LA CHAPELLE-SUR-CHEZY;02162;37;12;;;5;
CHARLY-SUR-MARNE;02163;432;93;;77;29;24
LE CHARMEL;02164;36;13;;;8;
CHARMES;02165;260;61;;48;27;13
CHARTEVES;02166;36;12;;6;7;
CHASSEMY;02167;115;39;;27;23;7
CHATEAU-THIERRY;02168;3348;609;22;524;175;112
CHATILLON-LES-SONS;02169;10;;;;;
CHATILLON-SUR-OISE;02170;15;6;;;;
CHAUDARDES;02171;14;6;;;;
CHAUDUN;02172;32;9;;;;
CHAUNY;02173;2822;458;10;404;91;74
CHAVIGNON;02174;115;44;;33;26;14
CHAVIGNY;02175;18;;;;;
CHAVONNE;02176;29;10;;;;
CHERET;02177;16;7;;;;
CHERMIZY-AILLES;02178;17;;;;;
