'Communes';'Codes_Insee';'NB_Allocataires';'ALL_PAJE';'ALL_PRIM';'ALL_BASEP';'ALL_CMG';'ALL_CMG_ASMA';'ALL_CMG_DOM';'ALL_CMG_A';'ALL_Clca_Colca'
CORVEISSIAT;01125;85;26;;14;17;;;;
COURMANGOUX;01127;54;18;;13;10;;;;
COURTES;01128;37;10;;;;;;;
CRANS;01129;21;8;;;;;;;
CRAS-SUR-REYSSOUZE;01130;211;69;;54;58;;;;22
CRESSIN-ROCHEFORT;01133;42;11;;;;;;;
CROTTET;01134;219;64;;49;43;;;;20
CROZET;01135;122;23;;13;12;7;;;
CRUZILLES-LES-MEPILLAT;01136;107;34;;26;24;;;;14
CULOZ;01138;459;88;;80;17;;;;13
CURCIAT-DONGALON;01139;57;24;;18;14;;;;
CURTAFOND;01140;95;29;;;17;;;;12
CUZIEU;01141;44;13;;;;;;;5
DAGNEUX;01142;668;224;6;163;114;;;;60
DIVONNE-LES-BAINS;01143;657;91;;63;27;19;6;;21
DOMMARTIN;01144;119;39;;33;18;;;;11
DOMPIERRE-SUR-VEYLE;01145;154;35;;26;25;;;;7
DOMPIERRE-SUR-CHALARONNE;01146;61;15;;;7;;;;
DOMSURE;01147;55;13;;;5;;;;
DORTAN;01148;213;49;;32;26;;;;16
DOUVRES;01149;141;42;;30;28;;;;11
DROM;01150;26;5;;;;;;;
DRUILLAT;01151;122;38;;31;25;;;;10
ECHALLON;01152;73;17;;11;;;;;5
ECHENEVEX;01153;117;32;;13;18;;;;7
ETREZ;01154;110;40;;31;26;;;;15
EVOSGES;01155;14;5;;;;;;;
FARAMANS;01156;97;34;;27;25;;;;11
FAREINS;01157;280;85;;58;58;;;;18
FARGES;01158;59;7;;;;;;;
FEILLENS;01159;417;127;;87;84;;;;22
FERNEY-VOLTAIRE;01160;862;131;;113;28;;;;23
FLAXIEU;01162;9;;;;;;;;
FOISSIAT;01163;243;72;;57;47;;;;19
FRANCHELEINS;01165;209;73;;47;47;;;;21
FRANS;01166;269;90;;73;50;;;;28
GARNERANS;01167;80;29;;15;22;;;;7
GENOUILLEUX;01169;86;22;;;8;;;;10
BEARD-GEOVREISSIAT;01170;133;44;;31;22;;;;12
GEOVREISSET;01171;120;27;;22;11;;;;11
GERMAGNAT;01172;18;;;;;;;;
GEX;01173;1170;234;5;173;75;70;5;;61
GIRON;01174;18;7;;;;;;;
GORREVOD;01175;111;30;;22;18;;;;9
LE GRAND-ABERGEMENT;01176;9;;;;;;;;
GRAND-CORENT;01177;17;8;;;;;;;
GRIEGES;01179;222;66;;46;37;;;;17
GRILLY;01180;37;7;;;;;;;
GROISSIAT;01181;161;40;;33;22;;;;13
GROSLEE;01182;39;12;;;5;;;;
GUEREINS;01183;189;71;;43;48;;;;12
HAUTECOURT-ROMANECHE;01184;102;30;;22;21;;;;8
HAUTEVILLE-LOMPNES;01185;594;85;;74;31;;;;24
HOSTIAZ;01186;7;;;;;;;;
HOTONNES;01187;29;11;;;5;;;;6
ILLIAT;01188;71;28;;19;17;;;;8
INJOUX-GENISSIAT;01189;130;42;;35;23;;;;10
INNIMOND;01190;11;;;;;;;;
IZENAVE;01191;18;8;;;;;;;
IZERNORE;01192;369;101;;67;57;;;;26
IZIEU;01193;25;;;;;;;;
JASSANS-RIOTTIER;01194;982;233;;189;104;;;5;71
JASSERON;01195;269;66;;49;40;;;;21
JAYAT;01196;160;54;;42;33;;;;13
JOURNANS;01197;38;8;;;;;;;
JOYEUX;01198;39;11;;;;;;;
JUJURIEUX;01199;334;72;;57;41;;;;15
LABALME;01200;30;9;;;;;;;
LAGNIEU;01202;1179;301;8;237;120;;;;86
LAIZ;01203;162;53;;39;43;;;;15
LALLEYRIAT;01204;27;6;;;;;;;
LANCRANS;01205;128;36;;29;9;;;;11
LANTENAY;01206;31;9;;;;;;;
LAPEYROUSE;01207;46;23;;17;13;;;;7
LAVOURS;01208;13;;;;;;;;
LEAZ;01209;67;21;;13;8;;;;6
LELEX;01210;18;;;;;;;;
LENT;01211;195;41;;31;22;;;;10
LESCHEROUX;01212;89;33;;;17;;;;12
LEYMENT;01213;194;61;;50;32;;;;20
LEYSSARD;01214;20;7;;;;;;;
LHOPITAL;01215;;;;;;;;;
LHUIS;01216;134;24;;15;14;;;;
LOCHIEU;01218;11;;;;;;;;
LOMPNAS;01219;25;9;;;;;;;
LOMPNIEU;01221;9;;;;;;;;
LOYETTES;01224;495;194;6;149;107;101;;9;56
LURCY;01225;46;14;;9;;;;;6
MAGNIEU;01227;64;18;;13;11;;;;
MAILLAT;01228;62;14;;8;7;;;;
MALAFRETAZ;01229;181;54;;44;33;;;;18
MANTENAY-MONTLIN;01230;33;7;;;;;;;
MANZIAT;01231;221;60;;42;45;;;;21
MARBOZ;01232;290;79;;65;45;;;;25
MARCHAMP;01233;19;6;;;;;;;
MARIGNIEU;01234;20;6;;;;;;;
MARLIEUX;01235;178;49;5;37;29;;;;9
MARSONNAS;01236;128;44;;34;31;;;;17
MARTIGNAT;01237;231;68;;54;26;;;;17
MASSIEUX;01238;323;94;;58;54;;;;22
MASSIGNIEU-DE-RIVES;01239;65;16;;11;9;;;;5
MATAFELON-GRANGES;01240;80;31;;19;21;;;;10
MEILLONNAS;01241;181;39;;25;23;;;;12
MERIGNAT;01242;18;;;;;;;;
MESSIMY-SUR-SAONE;01243;146;40;;27;33;;;;9
MEXIMIEUX;01244;1349;342;8;240;182;175;6;;76
BOHAS-MEYRIAT-RIGNAT;01245;112;31;;23;19;;;;8
MEZERIAT;01246;295;84;;60;50;;;;20
MIJOUX;01247;31;;;;;;;;
MIONNAY;01248;263;73;;43;53;;;;17
MIRIBEL;01249;1583;437;;303;206;196;10;5;116
MISERIEUX;01250;231;76;;47;50;;;;21
MOGNENEINS;01252;85;36;;22;21;;;;15
MONTAGNAT;01254;204;62;;48;35;;;;23
MONTAGNIEU;01255;91;31;;;8;;;;8
MONTANGES;01257;35;13;;;7;;;;
MONTCEAUX;01258;142;40;;24;31;;;;5
MONTCET;01259;86;27;;22;19;;;;5
LE MONTELLIER;01260;37;10;;;;;;;
MONTHIEUX;01261;84;27;;17;16;;;;9
MONTLUEL;01262;1225;314;;236;132;126;5;;82
MONTMERLE-SUR-SAONE;01263;559;129;;86;88;81;5;;24
MONTRACOL;01264;140;48;;41;27;;;;15
MONTREAL-LA-CLUSE;01265;602;122;6;102;37;;;;29
MONTREVEL-EN-BRESSE;01266;398;58;;51;28;;;;17
NURIEUX-VOLOGNAT;01267;128;38;;26;22;;;;10
MURS-ET-GELIGNIEUX;01268;28;7;;;;;;;
NANTUA;01269;680;133;;118;17;;;;29
NATTAGES;01271;67;25;;19;11;;;;5
NEUVILLE-LES-DAMES;01272;201;50;;40;23;;;;16
NEUVILLE-SUR-AIN;01273;254;87;;73;49;;;;19
LES NEYROLLES;01274;109;26;;21;8;;;;5
NEYRON;01275;312;88;;52;55;;;;28
NIEVROZ;01276;196;70;;42;45;;;;13
NIVOLLET-MONTGRIFFON;01277;10;;;;;;;;
ONCIEU;01279;8;;;;;;;;
ORDONNAZ;01280;15;6;;;;;;;
ORNEX;01281;335;61;;46;16;;;;16
OUTRIAZ;01282;28;8;;;;;;;
OYONNAX;01283;4677;856;24;766;145;;;;253
OZAN;01284;90;24;;17;19;;;;
PARCIEUX;01285;141;40;;28;20;;;;17
PARVES;01286;39;11;;;;;;;
PERON;01288;169;33;;20;16;;;;10
PERONNAS;01289;907;138;;110;43;;;;41
PEROUGES;01290;142;42;;26;26;;;;7
PERREX;01291;105;29;;18;19;;;;8
LE PETIT-ABERGEMENT;01292;15;7;;;;;;;
PEYRIAT;01293;17;7;;;;;;;
PEYRIEU;01294;110;37;;31;22;;;;9
PEYZIEUX-SUR-SAONE;01295;97;48;;30;36;;;;12
PIRAJOUX;01296;50;16;;11;7;;;;
PIZAY;01297;102;36;;20;30;;;;5
PLAGNE;01298;10;;;;;;;;
LE PLANTAY;01299;60;19;;14;12;;;;5
LE POIZAT;01300;44;15;;9;9;;;;6
POLLIAT;01301;298;90;;76;53;;;;21
POLLIEU;01302;17;;;;;;;;
PONCIN;01303;259;54;;42;27;;;;17
PONT-D'AIN;01304;467;138;;106;74;;;;31
PONT-DE-VAUX;01305;445;77;;55;36;;;;12
PONT-DE-VEYLE;01306;296;56;;49;21;;;;14
PORT;01307;111;27;;;10;;;;7
POUGNY;01308;56;9;;;;;;;
POUILLAT;01309;11;;;;;;;;
PREMEYZEL;01310;145;8;;;;;;;
PREMILLIEU;01311;5;;;;;;;;
PRESSIAT;01312;32;9;;;;;;;
PREVESSIN-MOENS;01313;559;124;5;89;37;;;;24
PRIAY;01314;232;74;;53;41;;;;18
PUGIEU;01316;22;6;;;;;;;
RAMASSE;01317;37;15;;10;10;;;;
RANCE;01318;82;22;;16;12;;;;8
RELEVANT;01319;44;18;;;7;;;;6
REPLONGES;01320;481;146;;106;84;78;;;43
REVONNAS;01321;124;36;;27;22;15;;5;10
REYRIEUX;01322;600;123;;86;75;68;;;33
REYSSOUZE;01323;127;39;;32;18;;;;13
RIGNIEUX-LE-FRANC;01325;125;49;;32;32;;;;14
ROMANS;01328;107;16;;;8;;;;7
ROSSILLON;01329;13;;;;;;;;
RUFFIEU;01330;14;;;;;;;;
SAINT-ALBAN;01331;20;;;;;;;;
SAINT-ANDRE-DE-BAGE;01332;89;24;;16;18;;;;
SAINT-ANDRE-DE-CORCY;01333;421;101;;72;69;;;;33
SAINT-ANDRE-D'HUIRIAT;01334;73;29;;23;21;;;;12
SAINT-ANDRE-LE-BOUCHOUX;01335;53;18;;8;11;;;;
SAINT-ANDRE-SUR-VIEUX-JONC;01336;152;51;;40;33;;;;14
SAINT-BENIGNE;01337;164;42;;26;32;;;;14
SAINT-BENOIT;01338;108;28;;21;16;;;;7
SAINT-BERNARD;01339;141;42;;25;28;;;;11
SAINT-BOIS;01340;17;;;;;;;;
SAINT-CHAMP;01341;15;;;;;;;;
SAINTE-CROIX;01342;74;19;;13;10;;;;
SAINT-CYR-SUR-MENTHON;01343;253;75;;51;52;;;;23
SAINT-DENIS-LES-BOURG;01344;671;152;;116;58;;;;52
SAINT-DENIS-EN-BUGEY;01345;340;99;;68;63;;;;15
SAINT-DIDIER-D'AUSSIAT;01346;111;33;;28;19;;;;7
SAINT-DIDIER-DE-FORMANS;01347;223;59;;39;32;;;;22
SAINT-DIDIER-SUR-CHALARONNE;01348;409;88;;63;54;;;;18
SAINT-ELOI;01349;47;15;;10;9;;;;
SAINT-ETIENNE-DU-BOIS;01350;309;74;;58;39;;;;20
SAINT-ETIENNE-SUR-CHALARONNE;01351;225;60;;47;32;;;;19
SAINT-ETIENNE-SUR-REYSSOUZE;01352;62;20;;;11;;;;8
SAINTE-EUPHEMIE;01353;225;64;;45;40;;;;18
SAINT-GENIS-POUILLY;01354;905;200;7;157;41;;;;55
SAINT-GENIS-SUR-MENTHON;01355;53;22;;13;14;;;;6
SAINT-GEORGES-SUR-RENON;01356;28;6;;;;;;;
SAINT-GERMAIN-DE-JOUX;01357;74;15;;;6;;;;
SAINT-GERMAIN-LES-PAROISSES;01358;47;11;;;6;;;;
SAINT-GERMAIN-SUR-RENON;01359;18;8;;;;;;;
SAINT-JEAN-DE-GONVILLE;01360;116;17;;9;;;;;6
SAINT-JEAN-DE-NIOST;01361;170;43;;24;27;;;;11
SAINT-JEAN-DE-THURIGNEUX;01362;114;39;;29;24;;;;20
SAINT-JEAN-LE-VIEUX;01363;223;54;;41;30;;;;8
SAINT-JEAN-SUR-REYSSOUZE;01364;87;22;;;12;;;;6
SAINT-JEAN-SUR-VEYLE;01365;126;45;;37;21;;;;18
SAINTE-JULIE;01366;151;58;;50;30;;;;15
SAINT-JULIEN-SUR-REYSSOUZE;01367;108;29;;;9;;;;9
SAINT-JULIEN-SUR-VEYLE;01368;110;37;;24;24;;;;12
SAINT-JUST;01369;122;28;;;10;;;;6
SAINT-LAURENT-SUR-SAONE;01370;386;50;;45;11;;;;13
SAINT-MARCEL;01371;201;62;;32;48;;;;12
SAINT-MARTIN-DE-BAVEL;01372;48;9;;;;;;;
SAINT-MARTIN-DU-FRENE;01373;129;26;;;11;;;;
SAINT-MARTIN-DU-MONT;01374;223;68;;51;45;;;;25
SAINT-MARTIN-LE-CHATEL;01375;107;36;;27;24;;;;13
SAINT-MAURICE-DE-BEYNOST;01376;655;168;5;127;66;60;;;37
SAINT-MAURICE-DE-GOURDANS;01378;334;110;;62;80;73;7;;25
SAINT-MAURICE-DE-REMENS;01379;109;35;;23;26;;;;9
SAINT-NIZIER-LE-BOUCHOUX;01380;73;18;;;5;;;;
SAINT-NIZIER-LE-DESERT;01381;137;51;;33;31;;;;9
SAINTE-OLIVE;01382;26;11;;5;;;;;
SAINT-PAUL-DE-VARAX;01383;243;56;;41;36;;;;11
SAINT-RAMBERT-EN-BUGEY;01384;426;93;;77;39;33;;5;12
SAINT-REMY;01385;121;30;;23;21;;;;9
SAINT-SORLIN-EN-BUGEY;01386;146;48;;24;31;;;;5
SAINT-SULPICE;01387;34;11;;;;;;;
SAINT-TRIVIER-DE-COURTES;01388;165;29;;24;16;;;;
SAINT-TRIVIER-SUR-MOIGNANS;01389;268;69;;53;42;;;;12
SAINT-VULBAS;01390;135;31;;;19;;;;5
SALAVRE;01391;28;6;;;;;;;
SAMOGNAT;01392;87;27;;16;21;;;;5
SANDRANS;01393;74;24;;19;13;;;;6
SAULT-BRENAZ;01396;171;38;;;12;;;;8
SAUVERNY;01397;65;12;;;;;;;
SAVIGNEUX;01398;168;56;;37;39;;;;13
SEGNY;01399;109;19;;9;6;;;;7
SEILLONNAZ;01400;16;;;;;;;;
SERGY;01401;100;23;;11;11;;;;5
SERMOYER;01402;95;33;;24;17;;;;10
SERRIERES-DE-BRIORD;01403;208;51;;41;23;;;;12
SERRIERES-SUR-AIN;01404;11;6;;;;;;;
SERVAS;01405;176;49;;40;27;;;;10
SERVIGNAT;01406;21;5;;;;;;;
SEYSSEL;01407;148;32;;22;15;;;;9
SIMANDRE-SUR-SURAN;01408;83;25;;20;18;;;;7
SONGIEU;01409;10;;;;;;;;
SONTHONNAX-LA-MONTAGNE;01410;32;13;;7;;;;;
SOUCLIN;01411;37;11;;;;;;;
SULIGNAT;01412;77;21;;;11;;;;11
SURJOUX;01413;6;;;;;;;;
SUTRIEU;01414;21;;;;;;;;
TALISSIEU;01415;81;14;;9;9;;;;5
TENAY;01416;216;42;;36;14;;;;7
THEZILLIEU;01417;47;9;;;;;;;
THIL;01418;132;38;;21;23;;;;13
THOIRY;01419;401;90;;64;35;;;;12
THOISSEY;01420;346;61;;50;32;;;;14
TORCIEU;01421;86;28;;17;20;;;;6
TOSSIAT;01422;173;44;;28;32;;;;7
TOUSSIEUX;01423;102;43;;29;31;;;;15
TRAMOYES;01424;189;52;;25;41;;;;12
