Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
HORS TERRITOIRE DE COMPETENCE DE LA CAF;99999;33348;6662;228;5925;835;1531
COMMUNES INCONNUES INSEE;XXXXX;7275;1450;44;1266;411;296
L'ABERGEMENT-CLEMENCIAT;01001;103;41;;21;22;10
L' ABERGEMENT-DE-VAREY;01002;31;12;;;7;
AMBERIEU-EN-BUGEY;01004;2351;604;14;489;212;146
AMBERIEUX-EN-DOMBES;01005;220;74;;43;47;15
AMBLEON;01006;16;6;;;;
AMBRONAY;01007;317;107;;87;49;37
AMBUTRIX;01008;82;33;;25;16;6
ANDERT-ET-CONDON;01009;34;12;;;;
ANGLEFORT;01010;136;52;;38;26;22
APREMONT;01011;47;19;;14;12;8
ARANC;01012;31;11;;;;
ARANDAS;01013;10;;;;;
ARBENT;01014;547;121;;99;35;49
ARBIGNIEU;01015;42;10;;;;
ARBIGNY;01016;49;19;;14;13;6
ARGIS;01017;59;18;;13;10;6
ARMIX;01019;;;;;;
ARS-SUR-FORMANS;01021;201;51;;25;33;19
ARTEMARE;01022;208;45;;36;13;13
ASNIERES-SUR-SAONE;01023;10;;;;;
ATTIGNAT;01024;409;134;;105;68;54
BAGE-LA-VILLE;01025;390;131;;97;75;45
BAGE-LE-CHATEL;01026;119;26;;;12;6
BALAN;01027;200;75;;49;41;16
BANEINS;01028;68;24;;;15;12
BEAUPONT;01029;130;27;;22;12;12
BEAUREGARD;01030;168;40;;27;23;13
BELLIGNAT;01031;718;174;;145;42;47
BELIGNEUX;01032;443;205;;165;104;56
BELLEGARDE-SUR-VALSERINE;01033;1987;433;9;375;76;118
BELLEY;01034;1673;338;7;297;81;91
BELLEYDOUX;01035;34;13;;;7;7
BELMONT-LUTHEZIEU;01036;65;25;;;15;9
BENONCES;01037;26;10;;;5;
BENY;01038;83;26;;21;18;10
BEON;01039;47;18;;;8;
BEREZIAT;01040;52;25;;19;17;14
BETTANT;01041;93;35;;23;17;8
BEY;01042;28;8;;;;
BEYNOST;01043;603;175;;123;74;54
BILLIAT;01044;55;18;;13;8;9
BIRIEUX;01045;32;14;;7;;
BIZIAT;01046;100;42;;27;26;10
BLYES;01047;124;44;;26;29;10
LA BOISSE;01049;358;118;;76;60;43
BOISSEY;01050;31;13;;;5;
BOLOZON;01051;9;;;;;
BOULIGNEUX;01052;28;8;;;;
BOURG-EN-BRESSE;01053;8808;1392;35;1215;302;356
BOURG-SAINT-CHRISTOPHE;01054;172;78;;50;47;24
BOYEUX-SAINT-JEROME;01056;35;14;;;9;9
BOZ;01057;74;23;;15;13;8
BREGNIER-CORDON;01058;113;33;;26;15;14
BRENAZ;01059;9;;;;;
BRENOD;01060;69;21;;15;9;8
BRENS;01061;156;56;;47;26;17
BRESSOLLES;01062;81;25;;16;17;5
BRION;01063;55;18;;11;9;
BRIORD;01064;145;40;;;8;17
BUELLAS;01065;166;49;;33;29;13
LA BURBANCHE;01066;7;;;;;
CEIGNES;01067;36;6;;;;
CERDON;01068;121;29;;17;20;11
CERTINES;01069;196;47;;32;29;13
CESSY;01071;298;99;;36;60;16
CEYZERIAT;01072;472;99;;80;48;33
CEYZERIEU;01073;113;31;;24;13;5
CHALAMONT;01074;411;128;;89;87;43
CHALEINS;01075;153;37;;23;22;5
CHALEY;01076;18;6;;;;
CHALLES-LA-MONTAGNE;01077;19;5;;;;
CHALLEX;01078;46;10;;5;5;
CHAMPAGNE-EN-VALROMEY;01079;165;23;;17;11;9
CHAMPDOR;01080;60;24;;16;11;7
CHAMPFROMIER;01081;94;27;;20;15;12
CHANAY;01082;67;19;;;9;6
CHANEINS;01083;111;35;;20;27;9
CHANOZ-CHATENAY;01084;95;33;;28;15;12
LA CHAPELLE-DU-CHATELARD;01085;41;19;;12;12;
CHARIX;01087;37;14;;;9;5
CHARNOZ-SUR-AIN;01088;131;39;;17;30;6
CHATEAU-GAILLARD;01089;245;82;;55;47;29
CHATENAY;01090;42;15;;10;9;
CHATILLON-EN-MICHAILLE;01091;377;86;;59;39;31
CHATILLON-LA-PALUD;01092;218;70;;55;38;25
CHATILLON-SUR-CHALARONNE;01093;821;160;6;130;61;56
CHAVANNES-SUR-REYSSOUZE;01094;74;27;;21;17;9
CHAVANNES-SUR-SURAN;01095;89;34;;27;19;11
CHAVEYRIAT;01096;126;36;;30;18;11
CHAVORNAY;01097;23;7;;;;
CHAZEY-BONS;01098;99;21;;16;11;9
CHAZEY-SUR-AIN;01099;209;54;;35;31;11
CHEIGNIEU-LA-BALME;01100;12;6;;;;
CHEVILLARD;01101;19;5;;;;
CHEVROUX;01102;120;55;;41;30;17
CHEVRY;01103;87;29;;7;21;
CHEZERY-FORENS;01104;47;13;;;6;6
CIVRIEUX;01105;155;40;;25;27;12
CIZE;01106;16;7;;;;
CLEYZIEU;01107;14;5;;;;
COLIGNY;01108;150;35;;30;15;13
COLLONGES;01109;218;73;;37;45;18
COLOMIEU;01110;12;5;;;;
CONAND;01111;13;5;;;;
CONDAMINE;01112;47;19;;;10;5
CONDEISSIAT;01113;93;41;;19;33;
CONFORT;01114;83;17;;11;8;6
CONFRANCON;01115;142;41;;29;28;10
CONTREVOZ;01116;60;28;;20;14;8
CONZIEU;01117;18;9;;;;
CORBONOD;01118;219;37;;23;18;9
CORCELLES;01119;32;15;;9;;
CORLIER;01121;13;;;;;
CORMARANCHE-EN-BUGEY;01122;84;30;;25;14;12
CORMORANCHE-SUR-SAONE;01123;133;43;;34;31;10
CORMOZ;01124;71;26;;;16;5
CORVEISSIAT;01125;82;28;;;14;12
COURMANGOUX;01127;52;21;;16;16;10
COURTES;01128;26;8;;;;
CRANS;01129;22;6;;;;
CRAS-SUR-REYSSOUZE;01130;178;65;;52;40;29
CRESSIN-ROCHEFORT;01133;43;10;;;;
CROTTET;01134;213;56;;38;36;17
CROZET;01135;110;33;;11;21;5
CRUZILLES-LES-MEPILLAT;01136;101;34;;24;22;14
CULOZ;01138;453;121;;108;25;40
CURCIAT-DONGALON;01139;52;18;;;7;5
CURTAFOND;01140;97;34;;28;25;7
CUZIEU;01141;51;21;;;11;10
DAGNEUX;01142;572;215;5;150;104;61
DIVONNE-LES-BAINS;01143;666;189;;67;79;33
DOMMARTIN;01144;115;53;;38;36;12
DOMPIERRE-SUR-VEYLE;01145;169;41;;35;22;16
DOMPIERRE-SUR-CHALARONNE;01146;51;25;;19;13;10
DOMSURE;01147;51;12;;;7;
DORTAN;01148;256;66;;46;32;13
DOUVRES;01149;116;39;;21;22;10
DROM;01150;25;9;;;;
DRUILLAT;01151;135;46;;31;29;14
ECHALLON;01152;86;25;;11;18;7
ECHENEVEX;01153;89;36;;9;26;7
ETREZ;01154;121;33;;25;20;11
EVOSGES;01155;12;;;;;
FARAMANS;01156;71;26;;18;15;7
FAREINS;01157;266;81;;50;49;30
FARGES;01158;55;12;;;7;
FEILLENS;01159;389;112;;83;63;34
FERNEY-VOLTAIRE;01160;885;186;;121;63;38
FLAXIEU;01162;9;;;;;
FOISSIAT;01163;234;70;;49;56;18
FRANCHELEINS;01165;173;61;;37;40;18
FRANS;01166;240;59;;37;35;18
GARNERANS;01167;81;22;;14;13;5
GENOUILLEUX;01169;93;32;;20;19;9
BEARD-GEOVREISSIAT;01170;137;44;;37;22;14
GEOVREISSET;01171;132;36;;25;17;13
GERMAGNAT;01172;17;;;;;
GEX;01173;1196;334;6;199;152;63
GIRON;01174;14;7;;;;
GORREVOD;01175;107;31;;25;16;10
LE GRAND-ABERGEMENT;01176;7;;;;;
GRAND-CORENT;01177;20;11;;;;
GRIEGES;01179;235;80;;59;44;25
GRILLY;01180;43;17;;5;11;
GROISSIAT;01181;150;48;;36;29;17
GROSLEE;01182;43;18;;;6;6
GUEREINS;01183;159;60;;39;34;17
HAUTECOURT-ROMANECHE;01184;112;32;;25;13;10
HAUTEVILLE-LOMPNES;01185;614;94;5;86;24;25
HOSTIAZ;01186;8;;;;;
HOTONNES;01187;35;9;;;;
ILLIAT;01188;73;21;;;13;10
INJOUX-GENISSIAT;01189;111;39;;27;23;11
INNIMOND;01190;14;;;;;
IZENAVE;01191;14;5;;;;
IZERNORE;01192;391;125;;95;58;42
IZIEU;01193;17;;;;;
JASSANS-RIOTTIER;01194;943;237;5;182;105;61
JASSERON;01195;246;60;;36;40;21
JAYAT;01196;129;42;;33;27;17
JOURNANS;01197;41;8;;;;
JOYEUX;01198;30;12;;;;7
JUJURIEUX;01199;323;87;;69;44;27
LABALME;01200;30;11;;;;
LAGNIEU;01202;1123;291;7;216;129;84
LAIZ;01203;139;38;;33;26;8
LALLEYRIAT;01204;30;9;;;;
LANCRANS;01205;148;41;;33;17;9
LANTENAY;01206;26;6;;;;
LAPEYROUSE;01207;33;14;;6;;
LAVOURS;01208;13;5;;;;
LEAZ;01209;66;24;;14;11;7
LELEX;01210;22;7;;;;
LENT;01211;193;60;;39;40;18
LESCHEROUX;01212;78;19;;;12;
LEYMENT;01213;163;62;;52;33;19
LEYSSARD;01214;15;;;;;
LHOPITAL;01215;7;;;;;
LHUIS;01216;145;38;;30;24;7
LOCHIEU;01218;11;;;;;
LOMPNAS;01219;18;;;;;
LOMPNIEU;01221;9;;;;;
LOYETTES;01224;377;136;;109;55;38
LURCY;01225;51;15;;8;9;5
MAGNIEU;01227;53;19;;12;10;6
MAILLAT;01228;87;20;;13;8;
MALAFRETAZ;01229;120;36;;29;24;13
MANTENAY-MONTLIN;01230;27;5;;;;
MANZIAT;01231;232;72;;57;37;23
