Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
MARBOZ;01232;251;71;;60;40;27
MARCHAMP;01233;14;5;;;;
MARIGNIEU;01234;20;;;;;
MARLIEUX;01235;120;47;;35;26;15
MARSONNAS;01236;113;44;;29;31;11
MARTIGNAT;01237;234;57;;41;26;20
MASSIEUX;01238;318;88;;47;56;28
MASSIGNIEU-DE-RIVES;01239;70;25;;;9;8
MATAFELON-GRANGES;01240;81;32;;24;18;9
MEILLONNAS;01241;174;49;;31;32;14
MERIGNAT;01242;16;5;;;;
MESSIMY-SUR-SAONE;01243;161;51;;32;34;14
MEXIMIEUX;01244;1245;354;8;255;164;109
BOHAS-MEYRIAT-RIGNAT;01245;91;38;;31;20;12
MEZERIAT;01246;310;100;;78;54;25
MIJOUX;01247;42;10;;5;;
MIONNAY;01248;283;81;;43;48;27
MIRIBEL;01249;1487;334;11;252;121;93
MISERIEUX;01250;215;55;;30;37;15
MOGNENEINS;01252;97;42;;24;26;13
MONTAGNAT;01254;182;53;;40;34;22
MONTAGNIEU;01255;57;19;;;7;10
MONTANGES;01257;36;10;;;;
MONTCEAUX;01258;169;58;;45;27;21
MONTCET;01259;87;29;;23;15;15
LE MONTELLIER;01260;25;10;;;;5
MONTHIEUX;01261;77;20;;14;10;
MONTLUEL;01262;1205;362;15;288;129;105
MONTMERLE-SUR-SAONE;01263;578;189;;131;97;49
MONTRACOL;01264;133;38;;30;30;10
MONTREAL-LA-CLUSE;01265;648;153;6;129;46;46
MONTREVEL-EN-BRESSE;01266;361;81;;61;43;20
NURIEUX-VOLOGNAT;01267;129;43;;28;24;11
MURS-ET-GELIGNIEUX;01268;24;7;;;;
NANTUA;01269;696;153;6;135;25;44
NATTAGES;01271;70;25;;17;17;10
NEUVILLE-LES-DAMES;01272;186;47;;32;21;13
NEUVILLE-SUR-AIN;01273;215;73;;54;43;15
LES NEYROLLES;01274;97;33;;;;11
NEYRON;01275;308;85;;56;58;19
NIEVROZ;01276;188;52;;33;31;11
NIVOLLET-MONTGRIFFON;01277;13;5;;;;
ONCIEU;01279;8;;;;;
ORDONNAZ;01280;14;7;;;;
ORNEX;01281;290;103;;54;48;16
OUTRIAZ;01282;23;6;;;;
OYONNAX;01283;4818;1052;28;947;150;342
OZAN;01284;77;24;;18;14;16
PARCIEUX;01285;159;44;;24;23;6
PARVES;01286;39;8;;;;
PERON;01288;150;49;;23;30;9
PERONNAS;01289;866;157;;115;60;46
PEROUGES;01290;132;35;;21;15;15
PERREX;01291;99;28;;16;21;8
LE PETIT-ABERGEMENT;01292;19;5;;;;
PEYRIAT;01293;22;8;;;;
PEYRIEU;01294;100;26;;;10;8
PEYZIEUX-SUR-SAONE;01295;75;36;;25;26;12
PIRAJOUX;01296;36;15;;;;
PIZAY;01297;94;25;;15;;6
PLAGNE;01298;12;;;;;
LE PLANTAY;01299;61;24;;18;11;8
LE POIZAT;01300;55;20;;13;10;5
POLLIAT;01301;301;88;5;65;47;31
POLLIEU;01302;14;5;;;;
PONCIN;01303;247;61;;46;29;12
PONT-D'AIN;01304;447;130;6;103;59;35
PONT-DE-VAUX;01305;425;85;;66;39;21
PONT-DE-VEYLE;01306;260;49;;39;24;14
PORT;01307;124;34;;27;13;8
POUGNY;01308;65;18;;8;12;
POUILLAT;01309;12;;;;;
PREMEYZEL;01310;136;7;;;;
PREMILLIEU;01311;;;;;;
PRESSIAT;01312;31;12;;;6;
PREVESSIN-MOENS;01313;378;124;;59;69;22
PRIAY;01314;199;67;;43;45;15
PUGIEU;01316;21;6;;;;
RAMASSE;01317;26;7;;;;
RANCE;01318;73;18;;13;10;6
RELEVANT;01319;59;23;;13;14;
REPLONGES;01320;433;151;5;115;79;54
REVONNAS;01321;91;36;;30;20;15
REYRIEUX;01322;584;141;;97;65;54
REYSSOUZE;01323;119;32;;21;21;10
RIGNIEUX-LE-FRANC;01325;116;45;;32;23;11
ROMANS;01328;106;26;;19;13;10
ROSSILLON;01329;10;;;;;
RUFFIEU;01330;24;6;;;;
SAINT-ALBAN;01331;18;;;;;
SAINT-ANDRE-DE-BAGE;01332;77;26;;18;14;10
SAINT-ANDRE-DE-CORCY;01333;402;102;;64;62;30
SAINT-ANDRE-D'HUIRIAT;01334;74;27;;17;17;8
SAINT-ANDRE-LE-BOUCHOUX;01335;44;14;;7;;
SAINT-ANDRE-SUR-VIEUX-JONC;01336;139;45;;30;28;13
SAINT-BENIGNE;01337;158;61;;49;30;23
SAINT-BENOIT;01338;100;28;;23;11;10
SAINT-BERNARD;01339;154;39;;22;19;16
SAINT-BOIS;01340;16;6;;;;
SAINT-CHAMP;01341;14;;;;;
SAINTE-CROIX;01342;73;23;;9;14;6
SAINT-CYR-SUR-MENTHON;01343;225;81;;65;53;24
SAINT-DENIS-LES-BOURG;01344;641;164;;125;65;57
SAINT-DENIS-EN-BUGEY;01345;316;96;;69;42;24
SAINT-DIDIER-D'AUSSIAT;01346;111;41;;31;27;16
SAINT-DIDIER-DE-FORMANS;01347;231;64;;45;31;29
SAINT-DIDIER-SUR-CHALARONNE;01348;404;112;;82;55;39
SAINT-ELOI;01349;44;12;;7;5;
SAINT-ETIENNE-DU-BOIS;01350;301;91;;74;39;38
SAINT-ETIENNE-SUR-CHALARONNE;01351;194;64;;48;34;26
SAINT-ETIENNE-SUR-REYSSOUZE;01352;63;19;;;12;7
SAINTE-EUPHEMIE;01353;197;57;;35;29;19
SAINT-GENIS-POUILLY;01354;829;224;9;154;68;50
SAINT-GENIS-SUR-MENTHON;01355;48;21;;14;14;
SAINT-GEORGES-SUR-RENON;01356;30;15;;9;;
SAINT-GERMAIN-DE-JOUX;01357;81;25;;;;7
SAINT-GERMAIN-LES-PAROISSES;01358;50;17;;;12;
SAINT-GERMAIN-SUR-RENON;01359;17;;;;;
SAINT-JEAN-DE-GONVILLE;01360;112;21;;5;;
SAINT-JEAN-DE-NIOST;01361;179;51;;31;29;23
SAINT-JEAN-DE-THURIGNEUX;01362;92;39;;24;24;16
SAINT-JEAN-LE-VIEUX;01363;231;55;;44;30;14
SAINT-JEAN-SUR-REYSSOUZE;01364;99;31;;25;17;8
SAINT-JEAN-SUR-VEYLE;01365;135;39;;;21;16
SAINTE-JULIE;01366;137;53;;37;25;21
SAINT-JULIEN-SUR-REYSSOUZE;01367;92;32;;27;13;7
SAINT-JULIEN-SUR-VEYLE;01368;90;31;;;17;11
SAINT-JUST;01369;109;19;;;7;5
SAINT-LAURENT-SUR-SAONE;01370;401;70;;57;20;18
SAINT-MARCEL;01371;202;71;;40;48;15
SAINT-MARTIN-DE-BAVEL;01372;53;15;;;10;
SAINT-MARTIN-DU-FRENE;01373;150;46;;37;19;16
SAINT-MARTIN-DU-MONT;01374;208;65;;47;39;18
SAINT-MARTIN-LE-CHATEL;01375;106;34;;25;26;14
SAINT-MAURICE-DE-BEYNOST;01376;643;144;;103;62;34
SAINT-MAURICE-DE-GOURDANS;01378;314;109;;61;72;26
SAINT-MAURICE-DE-REMENS;01379;96;39;;27;24;15
SAINT-NIZIER-LE-BOUCHOUX;01380;76;20;;;9;8
SAINT-NIZIER-LE-DESERT;01381;137;49;;39;27;19
SAINTE-OLIVE;01382;37;12;;6;;5
SAINT-PAUL-DE-VARAX;01383;263;64;;43;39;20
SAINT-RAMBERT-EN-BUGEY;01384;420;94;;82;27;24
SAINT-REMY;01385;115;29;;18;20;6
SAINT-SORLIN-EN-BUGEY;01386;119;42;;29;25;13
SAINT-SULPICE;01387;16;7;;;;
SAINT-TRIVIER-DE-COURTES;01388;141;26;;;9;
SAINT-TRIVIER-SUR-MOIGNANS;01389;305;86;;60;48;28
SAINT-VULBAS;01390;125;36;;30;14;11
SALAVRE;01391;28;8;;;;
SAMOGNAT;01392;99;31;;18;24;10
SANDRANS;01393;64;31;;24;18;11
SAULT-BRENAZ;01396;171;47;;38;19;12
SAUVERNY;01397;78;19;;9;9;6
SAVIGNEUX;01398;170;53;;33;31;12
SEGNY;01399;109;28;;9;19;6
SEILLONNAZ;01400;14;7;;;;
SERGY;01401;119;58;;20;37;7
SERMOYER;01402;82;29;;20;16;8
SERRIERES-DE-BRIORD;01403;180;47;;33;23;15
SERRIERES-SUR-AIN;01404;8;;;;;
SERVAS;01405;167;44;;36;16;19
SERVIGNAT;01406;17;;;;;
SEYSSEL;01407;154;43;;33;20;6
SIMANDRE-SUR-SURAN;01408;80;21;;16;12;8
SONGIEU;01409;14;;;;;
SONTHONNAX-LA-MONTAGNE;01410;48;17;;;8;10
SOUCLIN;01411;39;15;;;7;6
SULIGNAT;01412;76;24;;14;11;7
SURJOUX;01413;;;;;;
SUTRIEU;01414;21;6;;;;
TALISSIEU;01415;83;17;;10;9;
TENAY;01416;208;37;;;5;12
THEZILLIEU;01417;40;14;;;5;6
THIL;01418;128;28;;18;15;9
THOIRY;01419;379;122;;49;75;21
THOISSEY;01420;300;55;;48;24;10
TORCIEU;01421;80;31;;24;14;9
TOSSIAT;01422;178;48;;35;35;17
TOUSSIEUX;01423;89;26;;16;15;6
TRAMOYES;01424;218;64;;24;47;20
LA TRANCLIERE;01425;38;12;;;;
TREFFORT-CUISIAT;01426;301;102;;76;53;30
TREVOUX;01427;1187;339;;263;123;87
VALEINS;01428;14;6;;;;
VANDEINS;01429;81;26;;;17;11
VARAMBON;01430;66;23;;14;13;5
VAUX-EN-BUGEY;01431;147;50;;31;26;16
VERJON;01432;26;10;;;;
VERNOUX;01433;36;13;;;6;
VERSAILLEUX;01434;34;9;;;;
VERSONNEX;01435;188;54;;25;32;9
VESANCY;01436;39;15;;5;10;
VESCOURS;01437;22;9;;;;
VESINES;01439;14;8;;;;
VIEU-D'IZENAVE;01441;77;29;;;13;13
VIEU;01442;34;13;;;6;
VILLARS-LES-DOMBES;01443;615;158;;108;89;47
VILLEBOIS;01444;166;61;;50;28;19
VILLEMOTIER;01445;93;40;;31;27;13
VILLENEUVE;01446;183;57;;29;40;17
VILLEREVERSURE;01447;172;38;;27;20;6
VILLES;01448;31;8;;;;
VILLETTE-SUR-AIN;01449;89;24;;18;14;9
VILLIEU-LOYES-MOLLON;01450;423;167;5;114;107;64
VIRIAT;01451;868;202;9;159;61;55
VIRIEU-LE-GRAND;01452;215;43;;31;16;8
VIRIEU-LE-PETIT;01453;95;7;;;;
VIRIGNIN;01454;180;42;;36;15;17
VONGNES;01456;;;;;;
VONNAS;01457;469;115;;101;58;39
ABBECOURT;02001;74;19;;;7;
ACHERY;02002;65;19;;12;11;
ACY;02003;131;47;;;20;17
AGNICOURT-ET-SECHELLES;02004;28;5;;;;
AGUILCOURT;02005;38;7;;;;
AISONVILLE-ET-BERNOVILLE;02006;45;8;;;;
AIZELLES;02007;15;;;;;
AIZY-JOUY;02008;46;19;;;14;5
ALAINCOURT;02009;68;18;;12;;7
ALLEMANT;02010;23;6;;;;
AMBLENY;02011;131;50;;39;23;9
AMBRIEF;02012;7;;;;;
AMIFONTAINE;02013;48;16;;7;;
AMIGNY-ROUY;02014;101;37;;26;20;9
ANCIENVILLE;02015;10;5;;;;
ANDELAIN;02016;27;6;;;;
ANGUILCOURT-LE-SART;02017;43;12;;;;
ANIZY-LE-CHATEAU;02018;319;66;;53;20;13
ANNOIS;02019;47;15;;;8;5
ANY-MARTIN-RIEUX;02020;66;13;;;5;5
ARCHON;02021;11;;;;;
ARCY-SAINTE-RESTITUE;02022;55;13;;;5;
ARMENTIERES-SUR-OURCQ;02023;9;;;;;
ARRANCY;02024;7;;;;;
ARTEMPS;02025;50;12;;;7;
ARTONGES;02026;19;9;;;;
ASSIS-SUR-SERRE;02027;35;;;;;
ATHIES-SOUS-LAON;02028;323;102;;71;65;20
ATTILLY;02029;44;10;;;;
AUBENCHEUL-AUX-BOIS;02030;40;5;;;;
AUBENTON;02031;114;25;;20;9;6
AUBIGNY-AUX-KAISNES;02032;37;10;;;;
AUBIGNY-EN-LAONNOIS;02033;16;6;;;;
AUDIGNICOURT;02034;10;;;;;
AUDIGNY;02035;31;11;;;;
AUGY;02036;17;6;;;;
AULNOIS-SOUS-LAON;02037;193;56;;45;26;15
LES AUTELS;02038;8;;;;;
AUTREMENCOURT;02039;18;5;;;;
AUTREPPES;02040;22;5;;;;
AUTREVILLE;02041;103;25;;19;9;
AZY-SUR-MARNE;02042;39;8;;;;
BAGNEUX;02043;11;;;;;
BANCIGNY;02044;;;;;;
BARENTON-BUGNY;02046;60;19;;;13;8
BARENTON-CEL;02047;13;;;;;
BARENTON-SUR-SERRE;02048;16;6;;;;
BARISIS;02049;80;27;;20;18;8
BARZY-EN-THIERACHE;02050;37;9;;;;
BARZY-SUR-MARNE;02051;45;10;;;;
BASSOLES-AULERS;02052;23;6;;;;
BAULNE-EN-BRIE;02053;31;9;;;;
BAZOCHES-SUR-VESLES;02054;65;17;;12;6;
BEAUME;02055;10;;;;;
BEAUMONT-EN-BEINE;02056;18;8;;;;
BEAUREVOIR;02057;274;54;;48;15;19
BEAURIEUX;02058;121;44;;33;18;10
BEAUTOR;02059;544;114;;99;21;17
BEAUVOIS-EN-VERMANDOIS;02060;26;6;;;;
BECQUIGNY;02061;49;13;;;;
BELLEAU;02062;18;7;;;;
BELLENGLISE;02063;63;16;;;6;
BELLEU;02064;573;123;;101;40;29
BELLICOURT;02065;92;26;;;5;5
BENAY;02066;21;8;;;;
BERGUES-SUR-SAMBRE;02067;24;10;;;;
BERLANCOURT;02068;15;9;;;;
BERLISE;02069;14;7;;;;
BERNOT;02070;60;20;;;10;5
BERNY-RIVIERE;02071;75;25;;18;11;6
BERRIEUX;02072;21;9;;;;
BERRY-AU-BAC;02073;83;26;;;6;8
BERTAUCOURT-EPOURDON;02074;75;28;;21;19;5
BERTHENICOURT;02075;25;8;;;;
BERTRICOURT;02076;23;8;;;;
BERZY-LE-SEC;02077;60;16;;;6;
BESME;02078;25;13;;;;
BESMONT;02079;17;6;;;;
BESNY-ET-LOIZY;02080;44;14;;9;7;
BETHANCOURT-EN-VAUX;02081;88;23;;;7;11
BEUGNEUX;02082;11;;;;;
BEUVARDES;02083;97;29;;19;14;7
BEZU-LE-GUERY;02084;29;17;;;10;5
BEZU-SAINT-GERMAIN;02085;141;63;;53;34;19
BICHANCOURT;02086;135;36;;30;20;12
BIEUXY;02087;;;;;;
BIEVRES;02088;12;;;;;
BILLY-SUR-AISNE;02089;123;39;;31;14;8
BILLY-SUR-OURCQ;02090;30;7;;;;
BLANZY-LES-FISMES;02091;10;;;;;
BLERANCOURT;02093;201;52;;44;22;10
BLESMES;02094;43;16;;9;10;6
BOHAIN-EN-VERMANDOIS;02095;1326;222;9;197;31;32
BOIS-LES-PARGNY;02096;24;13;;;5;
BONCOURT;02097;39;13;;;5;
BONNEIL;02098;43;10;;;;
BONNESVALYN;02099;30;10;;5;;
BONY;02100;20;6;;;;
BOSMONT-SUR-SERRE;02101;16;6;;;;
BOUCONVILLE-VAUCLAIR;02102;21;7;;;;
BOUE;02103;214;44;;34;16;7
BOUFFIGNEREUX;02104;13;;;;;
BOURESCHES;02105;23;8;;;;
BOURG-ET-COMIN;02106;114;30;;25;12;6
BOURGUIGNON-SOUS-COUCY;02107;13;;;;;
BOURGUIGNON-SOUS-MONTBAVIN;02108;19;7;;;;
LA BOUTEILLE;02109;71;19;;;12;
BRAINE;02110;369;94;;80;31;23
BRANCOURT-EN-LAONNOIS;02111;97;25;;19;12;5
BRANCOURT-LE-GRAND;02112;88;19;;;8;6
BRASLES;02114;144;33;;26;19;11
BRAYE-EN-LAONNOIS;02115;26;7;;;;
BRAYE-EN-THIERACHE;02116;13;;;;;
BRAY-SAINT-CHRISTOPHE;02117;10;;;;;
BRAYE;02118;18;;;;;
BRECY;02119;44;16;;;11;
BRENELLE;02120;29;10;;;;
BRENY;02121;31;9;;;;
BRIE;02122;5;;;;;
BRISSAY-CHOIGNY;02123;41;13;;;7;
BRISSY-HAMEGICOURT;02124;90;22;;15;14;
BRUMETZ;02125;33;5;;;;
BRUNEHAMEL;02126;88;21;;16;8;
BRUYERES-SUR-FERE;02127;25;9;;;;
BRUYERES-ET-MONTBERAULT;02128;219;57;;39;25;10
BRUYS;02129;;;;;;
BUCILLY;02130;20;6;;;;
BUCY-LE-LONG;02131;233;49;;37;30;12
BUCY-LES-CERNY;02132;28;15;;10;10;
BUCY-LES-PIERREPONT;02133;60;21;;;8;7
BUIRE;02134;122;28;;;10;6
BUIRONFOSSE;02135;204;46;;38;15;8
BURELLES;02136;14;;;;;
BUSSIARES;02137;12;7;;;;
BUZANCY;02138;23;8;;;;
CAILLOUEL-CREPIGNY;02139;40;11;;;;
CAMELIN;02140;53;20;;15;9;7
LA CAPELLE;02141;385;56;;50;12;7
CASTRES;02142;34;10;;;;
LE CATELET;02143;33;11;;;;
CAULAINCOURT;02144;19;6;;;;
CAUMONT;02145;72;28;;18;14;7
CELLES-LES-CONDE;02146;7;;;;;
LA CELLE-SOUS-MONTMIRAIL;02147;13;5;;;;
CELLES-SUR-AISNE;02148;30;7;;;;
CERIZY;02149;7;;;;;
CERNY-EN-LAONNOIS;02150;12;;;;;
CERNY-LES-BUCY;02151;12;;;;;
CERSEUIL;02152;10;;;;;
CESSIERES;02153;62;21;;13;11;
CHACRISE;02154;43;13;;;7;
CHAILLEVOIS;02155;24;6;;;;
CHALANDRY;02156;31;16;;9;10;
CHAMBRY;02157;82;18;;;8;5
CHAMOUILLE;02158;39;10;;;5;
CHAMPS;02159;29;7;;;;
CHAOURSE;02160;74;26;;20;15;7
LA CHAPELLE-MONTHODON;02161;14;;;;;
LA CHAPELLE-SUR-CHEZY;02162;40;20;;;5;10
CHARLY-SUR-MARNE;02163;432;103;;87;30;29
LE CHARMEL;02164;36;9;;;;
CHARMES;02165;249;74;;56;30;19
CHARTEVES;02166;48;16;;11;11;
CHASSEMY;02167;106;33;;28;16;12
CHATEAU-THIERRY;02168;3224;565;24;459;174;103
CHATILLON-LES-SONS;02169;6;;;;;
CHATILLON-SUR-OISE;02170;16;;;;;
CHAUDARDES;02171;12;;;;;
CHAUDUN;02172;34;9;;;;
CHAUNY;02173;2652;461;13;396;102;62
CHAVIGNON;02174;102;27;;20;12;5
