Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
DOMPIERRE-SUR-VEYLE;01145;169;45;;37;24;17
DOMPIERRE-SUR-CHALARONNE;01146;56;18;;13;7;7
DOMSURE;01147;56;13;;;7;
DORTAN;01148;238;55;;42;24;11
DOUVRES;01149;120;43;;24;26;15
DROM;01150;24;9;;;;
DRUILLAT;01151;136;42;;32;27;14
ECHALLON;01152;76;21;;14;16;8
ECHENEVEX;01153;80;16;;6;10;7
ETREZ;01154;128;44;;34;31;12
EVOSGES;01155;12;;;;;
FARAMANS;01156;87;35;;27;18;15
FAREINS;01157;269;87;;49;52;25
FARGES;01158;57;14;;8;5;
FEILLENS;01159;400;114;;90;70;30
FERNEY-VOLTAIRE;01160;854;153;;133;27;37
FLAXIEU;01162;10;;;;;
FOISSIAT;01163;249;76;;46;48;18
FRANCHELEINS;01165;199;82;;60;47;26
FRANS;01166;227;51;;35;26;15
GARNERANS;01167;79;25;;18;17;7
GENOUILLEUX;01169;83;22;;12;17;
BEARD-GEOVREISSIAT;01170;130;33;;28;13;15
GEOVREISSET;01171;131;35;;26;19;11
GERMAGNAT;01172;17;;;;;
GEX;01173;1179;283;;208;106;64
GIRON;01174;18;6;;;;
GORREVOD;01175;110;31;;24;18;9
LE GRAND-ABERGEMENT;01176;;;;;;
GRAND-CORENT;01177;19;10;;;;5
GRIEGES;01179;241;79;;49;46;20
GRILLY;01180;35;9;;;;
GROISSIAT;01181;150;44;;30;27;13
GROSLEE;01182;38;11;;;;
GUEREINS;01183;165;70;;51;38;28
HAUTECOURT-ROMANECHE;01184;112;27;;17;15;11
HAUTEVILLE-LOMPNES;01185;591;93;;79;33;27
HOSTIAZ;01186;6;;;;;
HOTONNES;01187;28;12;;;;
ILLIAT;01188;67;27;;20;20;10
INJOUX-GENISSIAT;01189;121;32;;21;17;9
INNIMOND;01190;14;;;;;
IZENAVE;01191;18;7;;;;
IZERNORE;01192;393;102;;66;66;22
IZIEU;01193;21;5;;;;
JASSANS-RIOTTIER;01194;967;237;;183;102;73
JASSERON;01195;251;62;;38;38;20
JAYAT;01196;157;61;;54;33;24
JOURNANS;01197;47;15;;;6;
JOYEUX;01198;39;13;;;5;5
JUJURIEUX;01199;343;77;;65;39;21
LABALME;01200;37;13;;8;8;
LAGNIEU;01202;1169;311;7;226;150;68
LAIZ;01203;145;40;;26;26;9
LALLEYRIAT;01204;29;9;;;;
LANCRANS;01205;120;36;;30;9;9
LANTENAY;01206;26;13;;;;5
LAPEYROUSE;01207;31;11;;;5;5
LAVOURS;01208;12;5;;;;
LEAZ;01209;56;21;;;5;11
LELEX;01210;23;;;;;
LENT;01211;202;52;;34;35;21
LESCHEROUX;01212;87;22;;;11;9
LEYMENT;01213;174;55;;35;32;17
LEYSSARD;01214;16;6;;;;
LHOPITAL;01215;5;;;;;
LHUIS;01216;142;33;;21;26;8
LOCHIEU;01218;12;;;;;
LOMPNAS;01219;23;6;;;;
LOMPNIEU;01221;8;;;;;
LOYETTES;01224;466;195;;156;90;47
LURCY;01225;45;12;;;;
MAGNIEU;01227;59;15;;;5;6
MAILLAT;01228;79;15;;;8;
MALAFRETAZ;01229;140;41;;34;25;17
MANTENAY-MONTLIN;01230;32;8;;;;
MANZIAT;01231;227;80;;61;44;22
MARBOZ;01232;260;68;;57;37;23
MARCHAMP;01233;12;6;;;;
MARIGNIEU;01234;15;;;;;
MARLIEUX;01235;140;53;;46;29;17
MARSONNAS;01236;126;47;;32;32;8
MARTIGNAT;01237;228;58;;39;28;17
MASSIEUX;01238;318;98;;62;56;32
MASSIGNIEU-DE-RIVES;01239;71;25;;20;11;8
MATAFELON-GRANGES;01240;78;30;;21;18;9
MEILLONNAS;01241;176;50;;36;28;17
MERIGNAT;01242;16;;;;;
MESSIMY-SUR-SAONE;01243;154;45;;26;27;15
MEXIMIEUX;01244;1272;356;6;252;175;98
BOHAS-MEYRIAT-RIGNAT;01245;89;29;;24;16;12
MEZERIAT;01246;306;87;;56;58;28
MIJOUX;01247;37;9;;;;
MIONNAY;01248;275;70;;42;48;17
MIRIBEL;01249;1486;376;9;277;144;98
MISERIEUX;01250;221;71;;49;43;23
MOGNENEINS;01252;104;40;;27;28;14
MONTAGNAT;01254;185;49;;35;29;15
