Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
COMMUNES INCONNUES INSEE;XXXXX;6805;1605;29;1343;409;460
L'ABERGEMENT-CLEMENCIAT;01001;81;22;;13;11;5
L'ABERGEMENT-DE-VAREY;01002;30;9;;;;
AMBERIEU-EN-BUGEY;01004;2550;639;10;527;230;138
AMBERIEUX-EN-DOMBES;01005;227;77;;56;46;16
AMBLEON;01006;15;;;;;
AMBRONAY;01007;340;116;;89;67;32
AMBUTRIX;01008;97;41;;25;29;9
ANDERT-ET-CONDON;01009;40;12;;;7;
ANGLEFORT;01010;133;28;;;13;7
APREMONT;01011;53;16;;11;10;6
ARANC;01012;34;9;;;;
ARANDAS;01013;12;;;;;
ARBENT;01014;538;117;;108;27;39
ARBIGNIEU;01015;51;11;;;;5
ARBIGNY;01016;55;24;;18;13;7
ARGIS;01017;62;21;;;8;5
ARMIX;01019;;;;;;
ARS-SUR-FORMANS;01021;196;51;;41;32;13
ARTEMARE;01022;219;43;;31;16;10
ASNIERES-SUR-SAONE;01023;12;;;;;
ATTIGNAT;01024;463;161;;115;101;50
BAGE-LA-VILLE;01025;420;145;;110;85;43
BAGE-LE-CHATEL;01026;115;27;;21;13;7
BALAN;01027;235;94;;71;42;25
BANEINS;01028;66;22;;16;10;7
BEAUPONT;01029;158;31;;25;15;10
BEAUREGARD;01030;158;40;;32;15;8
BELLIGNAT;01031;795;169;;148;42;56
BELIGNEUX;01032;531;202;5;150;86;50
BELLEGARDE-SUR-VALSERINE;01033;2028;439;11;382;81;114
BELLEY;01034;1802;353;11;311;97;84
BELLEYDOUX;01035;32;13;;7;;
BELMONT-LUTHEZIEU;01036;60;23;;10;16;6
BENONCES;01037;22;10;;;;5
BENY;01038;86;28;;18;17;8
BEON;01039;65;15;;;5;
BEREZIAT;01040;64;26;;13;20;
BETTANT;01041;97;36;;30;21;9
BEY;01042;30;9;;;;
BEYNOST;01043;577;156;;96;77;38
BILLIAT;01044;72;20;;;12;
BIRIEUX;01045;38;21;;15;15;6
BIZIAT;01046;100;33;;25;22;8
BLYES;01047;135;43;;19;34;12
LA BOISSE;01049;356;114;;73;54;32
