Codes_Insee;Communes;RATIO_2A_FREQ_CRECHE;ENF_MOINS_3;ENF_3_6;CRECHE_PL_DISPO;NB_CRECHE;NB_SAGE;NB_PHARMA;NB_MATERNELLE;NB_ECOLE_ELEM;POP;LATITUDE;LONGITUDE
1064;BRIORD;0;0;39;30;1;0;0;0;1;0,9;45.770630198284103;5.485268132916810
1065;BUELLAS;1;0;57;0;0;0;1;0;1;1,6;46.210638489354601;5.145214847061520
1066;LA BURBANCHE;1;0;0;0;0;0;0;0;0;0,1;45.859745125762601;5.545856803892280
1067;CEIGNES;1;0;8;0;0;0;0;0;0;0,3;46.125905938959100;5.495075730743610
1068;CERDON;1;0;22;0;0;0;0;0;1;0,8;46.071918097793301;5.476077827861580
1069;CERTINES;1;0;47;0;0;0;0;0;0;1,4;46.133500847033297;5.262517747070360
1071;CESSY;0;0;53;35;1;0;1;1;1;3,8;46.316187225838704;6.078022340886390
1072;CEYZERIAT;0,166666667;5;116;30;1;0;1;1;1;2,7;46.183385106355203;5.319527063820880
1073;CEYZERIEU;1;0;31;0;0;0;0;0;1;0,9;45.833606977120802;5.718951171155400
1074;CHALAMONT;0;0;114;12;1;2;1;0;1;2,3;46.007517784349801;5.169445700262040
1075;CHALEINS;1;0;46;0;0;0;0;0;1;1,2;46.033906311230702;4.798647939795620
1076;CHALEY;1;0;9;0;0;0;0;0;0;0,1;45.954431752077802;5.536915968793240
1077;CHALLES-LA-MONTAGNE;1;0;0;0;0;0;0;0;0;0,2;46.122451640855203;5.457524798864800
1078;CHALLEX;1;0;11;0;0;1;0;0;1;1,2;46.176939455647300;5.971524153906840
1079;CHAMPAGNE-EN-VALROMEY;1;0;22;0;0;0;1;0;2;0,8;45.931962853125803;5.693084807452500
1080;CHAMPDOR;1;0;23;0;0;0;0;0;1;0,5;46.019290175333502;5.599621635490990
1081;CHAMPFROMIER;1;0;22;0;0;0;0;0;1;0,7;46.220462109190798;5.822228000062370
1082;CHANAY;1;0;14;0;0;0;0;0;1;0,6;46.005861189872803;5.768851700902940
1083;CHANEINS;1;0;35;0;0;0;0;0;1;0,8;46.093536964071397;4.854355490655120
1084;CHANOZ-CHATENAY;1;0;38;0;0;0;0;0;0;0,7;46.185794461299103;5.028839218337050
1085;LA CHAPELLE-DU-CHATELARD;1;0;19;0;0;0;0;0;0;0,3;46.073322717893603;5.021868332029630
1087;CHARIX;1;0;10;0;0;0;0;0;0;0,3;46.185723731888302;5.680745396718430
1088;CHARNOZ-SUR-AIN;1;0;34;0;0;0;0;0;1;0,9;45.874388277256699;5.222066996915550
1089;CHATEAU-GAILLARD;1;0;85;0;0;0;0;0;1;1,8;45.972761592065801;5.307438318304880
1090;CHATENAY;1;0;16;0;0;0;0;0;0;0,3;46.025864545786000;5.204564307989140
1091;CHATILLON-EN-MICHAILLE;1;0;76;0;0;0;1;0;2;3,1;46.129251869070700;5.770631947261470
1092;CHATILLON-LA-PALUD;1;0;77;0;0;0;0;0;1;1,5;45.974890127628299;5.241449241894870
1093;CHATILLON-SUR-CHALARONNE;0,25;13;159;52;2;0;2;1;2;4,9;46.122948004197497;4.957972484812100
1094;CHAVANNES-SUR-REYSSOUZE;1;0;30;0;0;0;0;0;0;0,7;46.438079671774503;5.006587770512220
1095;CHAVANNES-SUR-SURAN;1;0;36;0;0;0;0;0;1;0,7;46.274454440344300;5.416475022885310
1096;CHAVEYRIAT;0;0;40;18;1;0;0;0;0;0,9;46.199420895575599;5.056044787952650
1097;CHAVORNAY;1;0;10;0;0;0;0;0;0;0,2;45.882196077927198;5.724522989004660
1098;CHAZEY-BONS;1;0;17;0;0;0;0;0;1;0,7;45.792876548273398;5.684885264936210
1099;CHAZEY-SUR-AIN;1;0;54;0;0;0;0;0;1;1,4;45.893093412927200;5.254956825927280
1100;CHEIGNIEU-LA-BALME;1;0;5;0;0;0;0;0;0;0,2;45.822879347163600;5.604642168537560
1101;CHEVILLARD;1;0;0;0;0;0;0;0;0;0,2;46.110591207040798;5.581316632369510
1102;CHEVROUX;1;0;50;0;0;0;0;0;1;0,9;46.382450494476899;4.962937713275760
1103;CHEVRY;1;0;15;0;0;0;0;0;2;1,2;46.283087108147498;6.047313423340760
1104;CHEZERY-FORENS;1;0;11;0;0;0;0;0;0;0,4;46.222730293507396;5.872343445512270
1105;CIVRIEUX;1;0;37;0;0;0;0;0;1;1,3;45.922963828341501;4.886684640162900
1106;CIZE;1;0;8;0;0;0;0;0;0;0,2;46.200694576102599;5.450894436303980
1107;CLEYZIEU;1;0;0;0;0;0;0;0;0;0,1;45.902737720952302;5.432726204145830
1108;COLIGNY;1;0;36;0;0;1;1;0;1;1,1;46.386685765536399;5.330426163174710
1109;COLLONGES;0;0;40;24;1;0;1;0;1;1,8;46.142549218702200;5.899628707332570
1110;COLOMIEU;1;0;0;0;0;0;0;0;0;0,1;45.736629461221298;5.626989825936270
1111;CONAND;1;0;5;0;0;0;0;0;0;0,1;45.884180719777603;5.475221390452390
1112;CONDAMINE;1;0;22;0;0;0;0;0;1;0,4;46.105942212408301;5.555744773401520
1113;CONDEISSIAT;1;0;34;0;0;0;0;0;1;0,8;46.153731628464797;5.084574713962810
1114;CONFORT;1;0;13;0;0;0;0;0;1;0,5;46.154337405688899;5.832706695080950
1115;CONFRANCON;0;0;51;12;1;0;0;0;0;1,1;46.270506393880801;5.057684078306010
1116;CONTREVOZ;1;0;25;0;0;0;0;0;1;0,5;45.801157300694399;5.620100522539440
1117;CONZIEU;1;0;9;0;0;0;0;0;0;0,1;45.725657649901002;5.604159794253140
1118;CORBONOD;1;0;30;0;0;0;0;0;1;1,2;45.966141003396402;5.789693578382210
1119;CORCELLES;1;0;14;0;0;0;0;0;1;0,2;46.039605061554497;5.573706994157180
1121;CORLIER;1;0;0;0;0;0;0;0;0;0,1;46.033208298407203;5.496991023582080
1122;CORMARANCHE-EN-BUGEY;1;0;23;0;0;0;0;0;1;0,9;45.944063335593597;5.609120643149900
1123;CORMORANCHE-SUR-SAONE;1;0;41;0;0;0;0;0;1;1,1;46.241090473905501;4.827958172377170
1124;CORMOZ;1;0;32;0;0;0;0;0;1;0,6;46.433577544307198;5.221451045718680
1125;CORVEISSIAT;1;0;31;0;0;0;0;0;1;0,6;46.250961443392100;5.471622353298580
1127;COURMANGOUX;1;0;20;0;0;0;0;0;0;0,5;46.326654086556900;5.355728772876680
1128;COURTES;1;0;7;0;0;0;0;0;0;0,3;46.456889661431298;5.110839783997550
1129;CRANS;1;0;8;0;0;0;0;0;0;0,3;45.966398728717103;5.195045437489140
1130;CRAS-SUR-REYSSOUZE;1;0;64;0;0;0;0;0;1;1,2;46.312997212096498;5.177539652981320
1133;CRESSIN-ROCHEFORT;1;0;12;0;0;0;0;0;1;0,4;45.782811833448299;5.765257871069160
1134;CROTTET;1;0;57;0;0;0;0;0;1;1,7;46.283043995401499;4.877673519927900
