Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
HORS TERRITOIRE DE COMPETENCE DE LA CAF;99999;31822;5929;170;5174;1113;1258
COMMUNES INCONNUES INSEE;XXXXX;8104;2091;44;1830;425;574
L'ABERGEMENT-CLEMENCIAT;01001;91;34;;21;18;12
L'ABERGEMENT-DE-VAREY;01002;29;10;;;;
AMBERIEU-EN-BUGEY;01004;2375;606;11;495;236;123
AMBERIEUX-EN-DOMBES;01005;215;73;;49;45;16
AMBLEON;01006;13;;;;;
AMBRONAY;01007;318;108;;89;48;40
AMBUTRIX;01008;91;37;;29;18;8
ANDERT-ET-CONDON;01009;34;12;;;6;
ANGLEFORT;01010;131;42;;26;22;14
APREMONT;01011;51;15;;;7;5
ARANC;01012;33;12;;;;
ARANDAS;01013;9;;;;;
ARBENT;01014;531;109;;96;25;39
ARBIGNIEU;01015;41;9;;;;
ARBIGNY;01016;52;21;;;11;8
ARGIS;01017;61;25;;18;13;
ARMIX;01019;;;;;;
ARS-SUR-FORMANS;01021;191;51;;33;28;17
ARTEMARE;01022;199;37;;29;9;10
ASNIERES-SUR-SAONE;01023;9;;;;;
ATTIGNAT;01024;434;150;;116;75;51
BAGE-LA-VILLE;01025;395;136;;98;76;50
BAGE-LE-CHATEL;01026;120;21;;;11;
BALAN;01027;202;77;;51;44;15
BANEINS;01028;68;22;;;11;8
BEAUPONT;01029;142;31;;;17;9
BEAUREGARD;01030;165;34;;25;15;12
BELLIGNAT;01031;747;165;5;140;47;43
BELIGNEUX;01032;468;207;6;169;93;65
BELLEGARDE-SUR-VALSERINE;01033;1973;429;14;382;66;115
BELLEY;01034;1706;340;11;307;68;97
BELLEYDOUX;01035;38;12;;;;
BELMONT-LUTHEZIEU;01036;63;20;;;14;5
BENONCES;01037;27;11;;;6;
BENY;01038;77;25;;17;18;10
BEON;01039;57;20;;15;14;5
BEREZIAT;01040;63;28;;21;18;10
BETTANT;01041;90;37;;28;21;14
BEY;01042;32;9;;;;
BEYNOST;01043;588;168;;115;80;45
BILLIAT;01044;62;20;;13;8;11
BIRIEUX;01045;37;17;;11;11;
BIZIAT;01046;96;36;;27;23;7
BLYES;01047;132;43;;22;30;15
LA BOISSE;01049;351;118;;75;62;45
BOISSEY;01050;39;18;;;11;5
BOLOZON;01051;9;;;;;
BOULIGNEUX;01052;29;13;;8;8;5
BOURG-EN-BRESSE;01053;8738;1398;32;1203;331;323
BOURG-SAINT-CHRISTOPHE;01054;162;68;;43;46;21
BOYEUX-SAINT-JEROME;01056;36;13;;;6;7
BOZ;01057;81;30;;23;15;10
BREGNIER-CORDON;01058;116;31;;;11;15
BRENAZ;01059;9;;;;;
BRENOD;01060;70;20;;14;11;8
BRENS;01061;154;53;;43;17;20
BRESSOLLES;01062;85;28;;13;20;7
BRION;01063;54;16;;10;8;
BRIORD;01064;145;39;;32;11;14
BUELLAS;01065;175;57;;42;33;13
LA BURBANCHE;01066;8;;;;;
CEIGNES;01067;36;8;;;;
CERDON;01068;119;22;;16;10;8
CERTINES;01069;191;47;;32;32;14
CESSY;01071;258;53;;27;22;18
CEYZERIAT;01072;475;116;;85;53;37
CEYZERIEU;01073;109;31;;19;14;7
CHALAMONT;01074;414;114;;79;73;36
CHALEINS;01075;159;46;;32;33;12
CHALEY;01076;24;9;;;;
CHALLES-LA-MONTAGNE;01077;17;;;;;
CHALLEX;01078;49;11;;;;6
CHAMPAGNE-EN-VALROMEY;01079;164;22;;14;11;8
CHAMPDOR;01080;52;23;;;13;8
CHAMPFROMIER;01081;80;22;;13;13;9
CHANAY;01082;68;14;;8;9;
CHANEINS;01083;105;35;;21;22;11
CHANOZ-CHATENAY;01084;99;38;;32;20;10
LA CHAPELLE-DU-CHATELARD;01085;41;19;;10;;
CHARIX;01087;37;10;;;;5
CHARNOZ-SUR-AIN;01088;127;34;;17;23;8
CHATEAU-GAILLARD;01089;252;85;;58;46;24
CHATENAY;01090;41;16;;9;9;5
CHATILLON-EN-MICHAILLE;01091;366;76;;52;34;23
CHATILLON-LA-PALUD;01092;234;77;;59;46;22
CHATILLON-SUR-CHALARONNE;01093;833;153;;132;59;43
CHAVANNES-SUR-REYSSOUZE;01094;75;30;;23;18;9
CHAVANNES-SUR-SURAN;01095;90;36;;25;21;9
