Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
CHAVEYRIAT;01096;130;40;;34;17;14
CHAVORNAY;01097;26;10;;;;
CHAZEY-BONS;01098;92;17;;11;9;8
CHAZEY-SUR-AIN;01099;208;54;;37;33;12
CHEIGNIEU-LA-BALME;01100;15;5;;;;
CHEVILLARD;01101;21;;;;;
CHEVROUX;01102;120;50;;38;33;17
CHEVRY;01103;84;15;;6;9;
CHEZERY-FORENS;01104;49;11;;;;
CIVRIEUX;01105;158;37;;16;25;9
CIZE;01106;18;8;;;;
CLEYZIEU;01107;14;;;;;
COLIGNY;01108;152;36;;29;16;17
COLLONGES;01109;194;40;;31;21;11
COLOMIEU;01110;8;;;;;
CONAND;01111;15;5;;;;
CONDAMINE;01112;48;22;;;9;9
CONDEISSIAT;01113;97;34;;15;27;5
CONFORT;01114;83;13;;;7;6
CONFRANCON;01115;146;51;;38;30;17
CONTREVOZ;01116;57;25;;19;8;8
CONZIEU;01117;19;9;;;;
CORBONOD;01118;219;30;;;11;9
CORCELLES;01119;28;14;;9;;
CORLIER;01121;12;;;;;
CORMARANCHE-EN-BUGEY;01122;85;23;;;14;11
CORMORANCHE-SUR-SAONE;01123;133;41;;30;24;14
CORMOZ;01124;81;32;;;18;
CORVEISSIAT;01125;87;31;;22;19;10
COURMANGOUX;01127;52;20;;14;14;5
COURTES;01128;31;7;;;;
CRANS;01129;21;8;;;;
CRAS-SUR-REYSSOUZE;01130;185;64;;52;41;25
CRESSIN-ROCHEFORT;01133;45;12;;;;5
CROTTET;01134;220;57;;41;40;19
CROZET;01135;116;26;;17;9;9
CRUZILLES-LES-MEPILLAT;01136;102;32;;23;22;12
CULOZ;01138;426;110;;97;22;37
CURCIAT-DONGALON;01139;53;22;;;8;11
CURTAFOND;01140;90;25;;17;18;9
CUZIEU;01141;46;16;;;11;
DAGNEUX;01142;600;211;5;148;110;68
DIVONNE-LES-BAINS;01143;629;122;;69;42;33
DOMMARTIN;01144;105;43;;33;26;11
DOMPIERRE-SUR-VEYLE;01145;169;44;;33;21;16
DOMPIERRE-SUR-CHALARONNE;01146;51;19;;13;8;
DOMSURE;01147;50;11;;;5;
DORTAN;01148;254;71;;53;27;14
DOUVRES;01149;120;40;;26;22;16
DROM;01150;25;7;;;;
DRUILLAT;01151;129;35;;24;24;10
ECHALLON;01152;80;24;;14;19;9
ECHENEVEX;01153;77;14;;7;7;
ETREZ;01154;125;41;;33;25;9
EVOSGES;01155;15;;;;;
FARAMANS;01156;77;26;;;14;10
FAREINS;01157;276;88;;49;51;25
FARGES;01158;50;11;;;5;
FEILLENS;01159;397;120;;88;65;35
FERNEY-VOLTAIRE;01160;844;150;;134;30;34
FLAXIEU;01162;11;;;;;
FOISSIAT;01163;236;68;;46;46;21
FRANCHELEINS;01165;185;66;;44;40;21
FRANS;01166;231;58;;41;29;15
GARNERANS;01167;77;24;;19;10;12
GENOUILLEUX;01169;85;30;;19;19;8
BEARD-GEOVREISSIAT;01170;127;36;;27;17;17
GEOVREISSET;01171;131;35;;25;19;9
GERMAGNAT;01172;17;;;;;
GEX;01173;1121;264;7;196;81;59
GIRON;01174;13;5;;;;
GORREVOD;01175;112;33;;26;15;12
LE GRAND-ABERGEMENT;01176;6;;;;;
GRAND-CORENT;01177;19;10;;;;5
GRIEGES;01179;243;81;;54;51;23
GRILLY;01180;39;9;;;;
GROISSIAT;01181;150;44;;27;35;12
GROSLEE;01182;42;15;;;7;
GUEREINS;01183;157;71;;47;35;22
HAUTECOURT-ROMANECHE;01184;110;29;;;14;9
HAUTEVILLE-LOMPNES;01185;595;89;;79;26;29
HOSTIAZ;01186;7;;;;;
HOTONNES;01187;31;9;;;;
ILLIAT;01188;75;26;;;16;12
INJOUX-GENISSIAT;01189;107;31;;;16;13
INNIMOND;01190;15;;;;;
IZENAVE;01191;18;6;;;;
IZERNORE;01192;392;115;;92;56;36
IZIEU;01193;15;;;;;
JASSANS-RIOTTIER;01194;941;232;6;184;92;69
JASSERON;01195;247;61;;42;38;21
JAYAT;01196;139;51;;45;31;23
JOURNANS;01197;44;14;;;7;5
JOYEUX;01198;33;10;;;;5
JUJURIEUX;01199;319;86;;76;41;21
LABALME;01200;30;13;;;5;6
LAGNIEU;01202;1163;333;5;250;155;82
LAIZ;01203;144;38;;26;26;12
LALLEYRIAT;01204;27;7;;;;
LANCRANS;01205;135;38;;31;13;7
LANTENAY;01206;26;10;;;;5
LAPEYROUSE;01207;33;13;;7;;
LAVOURS;01208;14;5;;;;
LEAZ;01209;54;18;;;;10
LELEX;01210;22;6;;;;
LENT;01211;207;62;;41;33;20
LESCHEROUX;01212;79;20;;;12;7
LEYMENT;01213;168;58;;39;40;16
LEYSSARD;01214;15;5;;;;
LHOPITAL;01215;5;;;;;
LHUIS;01216;138;33;;21;25;6
LOCHIEU;01218;13;;;;;
LOMPNAS;01219;22;6;;;;
LOMPNIEU;01221;10;;;;;
LOYETTES;01224;401;152;;122;61;41
LURCY;01225;51;14;;;;
MAGNIEU;01227;58;16;;10;8;7
MAILLAT;01228;84;18;;;9;
MALAFRETAZ;01229;131;35;;26;20;12
MANTENAY-MONTLIN;01230;30;6;;;;
MANZIAT;01231;238;77;;61;36;24
MARBOZ;01232;253;70;;55;36;27
MARCHAMP;01233;10;;;;;
MARIGNIEU;01234;17;;;;;
MARLIEUX;01235;123;50;;40;24;18
MARSONNAS;01236;126;47;;33;30;10
MARTIGNAT;01237;232;68;;50;30;23
MASSIEUX;01238;316;89;;54;61;30
MASSIGNIEU-DE-RIVES;01239;79;31;;;14;9
MATAFELON-GRANGES;01240;80;30;;24;20;13
MEILLONNAS;01241;175;43;;34;23;21
MERIGNAT;01242;17;5;;;;
MESSIMY-SUR-SAONE;01243;153;45;;26;31;16
MEXIMIEUX;01244;1227;355;;245;174;101
BOHAS-MEYRIAT-RIGNAT;01245;96;40;;28;24;11
MEZERIAT;01246;304;92;;68;53;22
MIJOUX;01247;39;9;;;;
MIONNAY;01248;279;81;;42;54;26
MIRIBEL;01249;1475;361;;270;133;85
MISERIEUX;01250;213;70;;45;47;21
MOGNENEINS;01252;101;44;;27;27;13
MONTAGNAT;01254;181;49;;33;30;20
MONTAGNIEU;01255;65;23;;;9;5
MONTANGES;01257;33;6;;;;
MONTCEAUX;01258;160;67;;46;36;24
MONTCET;01259;78;24;;19;16;10
LE MONTELLIER;01260;27;10;;;;
MONTHIEUX;01261;82;22;;12;17;5
MONTLUEL;01262;1211;360;9;285;141;99
MONTMERLE-SUR-SAONE;01263;568;174;;122;91;43
MONTRACOL;01264;133;40;;29;26;12
MONTREAL-LA-CLUSE;01265;618;143;;119;47;47
MONTREVEL-EN-BRESSE;01266;363;74;;55;35;22
NURIEUX-VOLOGNAT;01267;132;44;;28;30;8
MURS-ET-GELIGNIEUX;01268;24;5;;;;
NANTUA;01269;696;157;;144;25;45
NATTAGES;01271;70;27;;19;18;10
NEUVILLE-LES-DAMES;01272;194;51;;41;25;9
NEUVILLE-SUR-AIN;01273;224;76;;54;47;19
LES NEYROLLES;01274;95;28;;;8;8
NEYRON;01275;304;93;;53;59;25
NIEVROZ;01276;183;52;;31;26;12
NIVOLLET-MONTGRIFFON;01277;13;;;;;
ONCIEU;01279;10;;;;;
ORDONNAZ;01280;18;8;;;;
ORNEX;01281;327;80;;68;15;23
OUTRIAZ;01282;23;9;;;;
OYONNAX;01283;4731;1041;30;943;158;322
OZAN;01284;93;31;;25;17;12
PARCIEUX;01285;156;43;;23;23;12
PARVES;01286;41;7;;;;
PERON;01288;142;42;;25;26;9
PERONNAS;01289;851;160;;120;53;55
PEROUGES;01290;132;36;;22;21;8
PERREX;01291;99;26;;17;19;6
LE PETIT-ABERGEMENT;01292;15;7;;;;
PEYRIAT;01293;20;8;;;;
PEYRIEU;01294;98;30;;;10;12
PEYZIEUX-SUR-SAONE;01295;80;41;;29;27;13
PIRAJOUX;01296;38;14;;;8;
PIZAY;01297;92;29;;18;22;10
PLAGNE;01298;11;5;;;;
LE PLANTAY;01299;61;26;;;10;10
LE POIZAT;01300;55;21;;16;8;6
POLLIAT;01301;295;91;;68;48;24
POLLIEU;01302;17;;;;;
PONCIN;01303;259;62;;44;38;9
PONT-D'AIN;01304;445;128;5;95;55;28
PONT-DE-VAUX;01305;417;74;;62;32;21
PONT-DE-VEYLE;01306;276;54;;45;28;16
PORT;01307;106;29;;23;11;10
POUGNY;01308;58;17;;10;9;
POUILLAT;01309;12;;;;;
PREMEYZEL;01310;136;7;;;;
PREMILLIEU;01311;;;;;;
PRESSIAT;01312;38;14;;;;5
PREVESSIN-MOENS;01313;394;101;;73;27;26
PRIAY;01314;193;70;;44;44;21
PUGIEU;01316;24;9;;;;
RAMASSE;01317;26;10;;;;
RANCE;01318;75;14;;9;9;6
RELEVANT;01319;56;19;;13;11;6
REPLONGES;01320;450;158;;120;89;54
REVONNAS;01321;106;46;;31;26;13
REYRIEUX;01322;575;135;;92;69;43
REYSSOUZE;01323;121;35;;26;18;11
RIGNIEUX-LE-FRANC;01325;111;48;;32;28;14
ROMANS;01328;113;29;;18;12;8
ROSSILLON;01329;14;;;;;
RUFFIEU;01330;22;;;;;
SAINT-ALBAN;01331;17;;;;;
SAINT-ANDRE-DE-BAGE;01332;83;24;;18;14;8
SAINT-ANDRE-DE-CORCY;01333;406;100;;62;68;25
SAINT-ANDRE-D'HUIRIAT;01334;70;26;;16;17;
SAINT-ANDRE-LE-BOUCHOUX;01335;46;13;;;;
SAINT-ANDRE-SUR-VIEUX-JONC;01336;132;45;;33;26;13
SAINT-BENIGNE;01337;149;59;;41;34;21
SAINT-BENOIT;01338;99;35;;25;15;8
SAINT-BERNARD;01339;150;36;;23;23;9
SAINT-BOIS;01340;17;6;;;;
SAINT-CHAMP;01341;13;5;;;;
SAINTE-CROIX;01342;67;18;;10;8;7
SAINT-CYR-SUR-MENTHON;01343;236;84;;64;62;24
SAINT-DENIS-LES-BOURG;01344;645;164;;115;78;56
SAINT-DENIS-EN-BUGEY;01345;312;87;;60;47;20
SAINT-DIDIER-D'AUSSIAT;01346;117;39;;33;22;15
SAINT-DIDIER-DE-FORMANS;01347;220;60;;43;26;22
SAINT-DIDIER-SUR-CHALARONNE;01348;414;110;;76;66;32
SAINT-ELOI;01349;42;8;;;;
SAINT-ETIENNE-DU-BOIS;01350;314;87;;81;31;41
SAINT-ETIENNE-SUR-CHALARONNE;01351;194;62;;50;31;27
SAINT-ETIENNE-SUR-REYSSOUZE;01352;64;18;;;10;5
SAINTE-EUPHEMIE;01353;203;61;;39;37;20
SAINT-GENIS-POUILLY;01354;825;170;8;146;28;54
SAINT-GENIS-SUR-MENTHON;01355;53;24;;18;14;8
SAINT-GEORGES-SUR-RENON;01356;27;14;;8;;
SAINT-GERMAIN-DE-JOUX;01357;71;18;;;;9
SAINT-GERMAIN-LES-PAROISSES;01358;51;17;;;12;
SAINT-GERMAIN-SUR-RENON;01359;18;7;;;;
SAINT-JEAN-DE-GONVILLE;01360;118;18;;9;12;5
SAINT-JEAN-DE-NIOST;01361;168;48;;29;22;18
SAINT-JEAN-DE-THURIGNEUX;01362;99;38;;27;19;16
SAINT-JEAN-LE-VIEUX;01363;224;60;;44;32;11
SAINT-JEAN-SUR-REYSSOUZE;01364;97;28;;;12;10
SAINT-JEAN-SUR-VEYLE;01365;132;39;;31;19;14
SAINTE-JULIE;01366;130;52;;39;25;17
SAINT-JULIEN-SUR-REYSSOUZE;01367;90;33;;;15;14
SAINT-JULIEN-SUR-VEYLE;01368;95;36;;29;18;12
SAINT-JUST;01369;110;14;;;7;5
SAINT-LAURENT-SUR-SAONE;01370;409;75;;65;23;14
SAINT-MARCEL;01371;196;61;;35;39;15
SAINT-MARTIN-DE-BAVEL;01372;56;18;;12;11;
SAINT-MARTIN-DU-FRENE;01373;147;47;;39;14;18
SAINT-MARTIN-DU-MONT;01374;196;64;;40;50;14
SAINT-MARTIN-LE-CHATEL;01375;101;33;;21;27;10
SAINT-MAURICE-DE-BEYNOST;01376;646;153;;117;62;37
SAINT-MAURICE-DE-GOURDANS;01378;306;111;;62;71;30
SAINT-MAURICE-DE-REMENS;01379;91;39;;29;24;12
SAINT-NIZIER-LE-BOUCHOUX;01380;70;11;;;5;
SAINT-NIZIER-LE-DESERT;01381;135;48;;38;27;18
SAINTE-OLIVE;01382;34;13;;;8;
SAINT-PAUL-DE-VARAX;01383;253;67;;52;39;16
SAINT-RAMBERT-EN-BUGEY;01384;427;93;;86;23;19
SAINT-REMY;01385;116;32;;24;23;6
SAINT-SORLIN-EN-BUGEY;01386;119;47;;32;27;13
SAINT-SULPICE;01387;25;12;;;6;6
SAINT-TRIVIER-DE-COURTES;01388;148;28;;;8;5
SAINT-TRIVIER-SUR-MOIGNANS;01389;290;74;;54;42;25
SAINT-VULBAS;01390;123;29;;;14;6
SALAVRE;01391;25;9;;;;
SAMOGNAT;01392;95;26;;15;21;5
SANDRANS;01393;64;27;;14;17;7
SAULT-BRENAZ;01396;171;47;;38;16;14
SAUVERNY;01397;64;10;;;;
SAVIGNEUX;01398;166;53;;31;33;10
SEGNY;01399;96;18;;10;9;
SEILLONNAZ;01400;16;5;;;;
SERGY;01401;103;32;;21;12;9
SERMOYER;01402;79;30;;21;16;9
SERRIERES-DE-BRIORD;01403;196;54;;37;23;12
SERRIERES-SUR-AIN;01404;6;;;;;
SERVAS;01405;170;41;;34;21;14
SERVIGNAT;01406;18;;;;;
SEYSSEL;01407;150;39;;33;16;5
SIMANDRE-SUR-SURAN;01408;86;19;;;14;6
SONGIEU;01409;13;;;;;
SONTHONNAX-LA-MONTAGNE;01410;45;17;;;8;7
SOUCLIN;01411;36;13;;;5;6
SULIGNAT;01412;73;24;;15;12;6
SURJOUX;01413;;;;;;
SUTRIEU;01414;22;7;;;;
TALISSIEU;01415;82;19;;11;12;
TENAY;01416;201;36;;29;9;13
THEZILLIEU;01417;43;12;;;;5
THIL;01418;132;38;;18;22;9
THOIRY;01419;342;74;;50;32;20
THOISSEY;01420;294;57;;46;28;13
TORCIEU;01421;77;29;;;14;12
TOSSIAT;01422;192;54;;40;28;19
TOUSSIEUX;01423;82;31;;17;20;5
TRAMOYES;01424;214;67;;29;51;25
LA TRANCLIERE;01425;38;13;;;;7
TREFFORT-CUISIAT;01426;320;112;5;84;56;36
TREVOUX;01427;1196;327;11;248;139;70
VALEINS;01428;17;7;;;;
VANDEINS;01429;80;21;;;13;9
VARAMBON;01430;63;24;;16;14;7
VAUX-EN-BUGEY;01431;158;59;;37;32;19
VERJON;01432;30;11;;;;
VERNOUX;01433;38;17;;;7;6
VERSAILLEUX;01434;33;8;;;;
VERSONNEX;01435;162;34;;21;13;7
VESANCY;01436;32;;;;;
VESCOURS;01437;24;13;;;5;
VESINES;01439;12;;;;;
VIEU-D'IZENAVE;01441;80;32;;25;14;13
VIEU;01442;35;10;;;5;
VILLARS-LES-DOMBES;01443;584;147;;109;86;41
VILLEBOIS;01444;168;55;;41;29;17
VILLEMOTIER;01445;91;33;;26;21;9
VILLENEUVE;01446;179;55;;32;36;14
VILLEREVERSURE;01447;178;40;;33;20;16
VILLES;01448;29;7;;;;
VILLETTE-SUR-AIN;01449;81;28;;15;18;
VILLIEU-LOYES-MOLLON;01450;440;172;;117;103;54
VIRIAT;01451;871;206;5;171;62;73
VIRIEU-LE-GRAND;01452;209;43;;35;13;8
VIRIEU-LE-PETIT;01453;93;7;;;;
VIRIGNIN;01454;187;42;;35;15;14
VONGNES;01456;;;;;;
VONNAS;01457;471;118;;93;61;33
ABBECOURT;02001;76;22;;;6;6
ACHERY;02002;70;23;;;12;6
ACY;02003;122;43;;32;22;15
AGNICOURT-ET-SECHELLES;02004;30;5;;;;
AGUILCOURT;02005;38;8;;;;
AISONVILLE-ET-BERNOVILLE;02006;47;12;;;5;
AIZELLES;02007;12;;;;;
AIZY-JOUY;02008;49;23;;;13;7
ALAINCOURT;02009;72;21;;;9;6
ALLEMANT;02010;28;11;;;;5
AMBLENY;02011;122;45;;36;27;7
AMBRIEF;02012;8;;;;;
AMIFONTAINE;02013;45;13;;6;;
AMIGNY-ROUY;02014;96;33;;26;18;9
ANCIENVILLE;02015;9;;;;;
ANDELAIN;02016;29;9;;;;
ANGUILCOURT-LE-SART;02017;46;11;;;;
ANIZY-LE-CHATEAU;02018;318;72;;59;23;20
ANNOIS;02019;48;15;;;9;7
ANY-MARTIN-RIEUX;02020;65;12;;7;;
ARCHON;02021;10;;;;;
ARCY-SAINTE-RESTITUE;02022;58;14;;;5;
ARMENTIERES-SUR-OURCQ;02023;9;;;;;
ARRANCY;02024;6;;;;;
ARTEMPS;02025;51;15;;10;7;
ARTONGES;02026;23;11;;;;
ASSIS-SUR-SERRE;02027;29;;;;;
ATHIES-SOUS-LAON;02028;352;124;;90;71;24
ATTILLY;02029;45;13;;8;;
AUBENCHEUL-AUX-BOIS;02030;40;7;;;;
AUBENTON;02031;110;20;;;6;
AUBIGNY-AUX-KAISNES;02032;37;8;;;;
AUBIGNY-EN-LAONNOIS;02033;14;;;;;
AUDIGNICOURT;02034;10;;;;;
AUDIGNY;02035;35;14;;;8;
AUGY;02036;14;;;;;
AULNOIS-SOUS-LAON;02037;188;59;;45;29;15
LES AUTELS;02038;9;;;;;
AUTREMENCOURT;02039;16;5;;;;
AUTREPPES;02040;24;;;;;
AUTREVILLE;02041;104;26;;;11;6
AZY-SUR-MARNE;02042;38;11;;;6;5
BAGNEUX;02043;9;;;;;
BANCIGNY;02044;;;;;;
BARENTON-BUGNY;02046;63;16;;;9;7
BARENTON-CEL;02047;12;;;;;
BARENTON-SUR-SERRE;02048;13;5;;;;
BARISIS;02049;81;34;;25;17;9
BARZY-EN-THIERACHE;02050;34;10;;;;
BARZY-SUR-MARNE;02051;45;9;;;;
BASSOLES-AULERS;02052;20;;;;;
BAULNE-EN-BRIE;02053;34;9;;;;
BAZOCHES-SUR-VESLES;02054;71;22;;15;13;5
BEAUME;02055;9;;;;;
BEAUMONT-EN-BEINE;02056;20;5;;;;
BEAUREVOIR;02057;267;48;;39;21;10
BEAURIEUX;02058;120;44;;34;15;16
BEAUTOR;02059;525;105;;90;32;17
BEAUVOIS-EN-VERMANDOIS;02060;26;6;;;;
BECQUIGNY;02061;45;10;;;;
BELLEAU;02062;14;;;;;
BELLENGLISE;02063;54;17;;12;7;5
BELLEU;02064;578;128;;105;46;30
BELLICOURT;02065;85;26;;;9;5
BENAY;02066;20;;;;;
BERGUES-SUR-SAMBRE;02067;25;10;;5;;
BERLANCOURT;02068;14;6;;;;
BERLISE;02069;15;6;;;;
BERNOT;02070;64;21;;;11;
BERNY-RIVIERE;02071;68;20;;12;11;6
BERRIEUX;02072;20;11;;;;
BERRY-AU-BAC;02073;87;27;;22;7;8
BERTAUCOURT-EPOURDON;02074;81;35;;22;20;5
BERTHENICOURT;02075;23;6;;;;
BERTRICOURT;02076;22;6;;;;
BERZY-LE-SEC;02077;55;15;;;6;
BESME;02078;24;12;;;6;
BESMONT;02079;16;;;;;
BESNY-ET-LOIZY;02080;45;15;;8;8;
BETHANCOURT-EN-VAUX;02081;89;19;;14;7;7
BEUGNEUX;02082;12;5;;;;
BEUVARDES;02083;95;24;;17;10;6
BEZU-LE-GUERY;02084;31;16;;;;
BEZU-SAINT-GERMAIN;02085;146;57;;48;32;16
BICHANCOURT;02086;125;31;;;17;11
BIEUXY;02087;;;;;;
BIEVRES;02088;9;;;;;
BILLY-SUR-AISNE;02089;119;31;;22;18;
BILLY-SUR-OURCQ;02090;28;7;;;;
BLANZY-LES-FISMES;02091;9;;;;;
BLERANCOURT;02093;213;50;;41;22;11
BLESMES;02094;42;14;;9;8;6
BOHAIN-EN-VERMANDOIS;02095;1304;224;10;197;29;38
BOIS-LES-PARGNY;02096;23;10;;;;
BONCOURT;02097;33;10;;;;
BONNEIL;02098;43;10;;;;
BONNESVALYN;02099;28;7;;;;
BONY;02100;19;;;;;
BOSMONT-SUR-SERRE;02101;18;5;;;;
BOUCONVILLE-VAUCLAIR;02102;23;7;;;;
BOUE;02103;218;47;;36;17;7
BOUFFIGNEREUX;02104;12;5;;;;
BOURESCHES;02105;23;8;;;;
BOURG-ET-COMIN;02106;118;38;;31;15;7
BOURGUIGNON-SOUS-COUCY;02107;10;;;;;
BOURGUIGNON-SOUS-MONTBAVIN;02108;24;8;;;;
LA BOUTEILLE;02109;76;19;;;13;6
BRAINE;02110;375;96;5;76;37;20
BRANCOURT-EN-LAONNOIS;02111;97;26;;21;13;6
BRANCOURT-LE-GRAND;02112;91;22;;;9;7
BRASLES;02114;167;32;;24;20;10
BRAYE-EN-LAONNOIS;02115;25;;;;;
BRAYE-EN-THIERACHE;02116;13;;;;;
BRAY-SAINT-CHRISTOPHE;02117;10;;;;;
BRAYE;02118;16;;;;;
BRECY;02119;47;18;;;13;6
BRENELLE;02120;27;9;;;;
BRENY;02121;30;10;;;;
BRIE;02122;;;;;;
BRISSAY-CHOIGNY;02123;42;13;;;6;
BRISSY-HAMEGICOURT;02124;96;26;;16;15;
BRUMETZ;02125;29;7;;;;
BRUNEHAMEL;02126;85;20;;;6;5
BRUYERES-SUR-FERE;02127;30;9;;;;
BRUYERES-ET-MONTBERAULT;02128;209;58;;42;26;13
BRUYS;02129;;;;;;
BUCILLY;02130;23;5;;;;
BUCY-LE-LONG;02131;229;46;;37;24;14
BUCY-LES-CERNY;02132;29;13;;8;7;
BUCY-LES-PIERREPONT;02133;59;21;;;;9
BUIRE;02134;128;26;;;8;5
BUIRONFOSSE;02135;220;45;;40;12;8
BURELLES;02136;13;6;;;;
BUSSIARES;02137;14;;;;;
BUZANCY;02138;23;9;;;;
CAILLOUEL-CREPIGNY;02139;45;14;;;6;
CAMELIN;02140;58;14;;;5;
LA CAPELLE;02141;391;58;;50;13;6
CASTRES;02142;32;7;;;;
LE CATELET;02143;33;9;;;;
CAULAINCOURT;02144;17;7;;;;
CAUMONT;02145;64;17;;10;11;5
CELLES-LES-CONDE;02146;7;;;;;
LA CELLE-SOUS-MONTMIRAIL;02147;13;;;;;
CELLES-SUR-AISNE;02148;31;6;;;;
CERIZY;02149;6;;;;;
CERNY-EN-LAONNOIS;02150;9;;;;;
CERNY-LES-BUCY;02151;10;;;;;
CERSEUIL;02152;9;;;;;
CESSIERES;02153;63;18;;12;8;
CHACRISE;02154;42;13;;;5;
CHAILLEVOIS;02155;24;6;;;;
CHALANDRY;02156;28;13;;7;;
CHAMBRY;02157;80;19;;;9;5
CHAMOUILLE;02158;38;8;;;;
CHAMPS;02159;30;6;;;;
CHAOURSE;02160;79;24;;;12;7
LA CHAPELLE-MONTHODON;02161;13;;;;;
LA CHAPELLE-SUR-CHEZY;02162;39;18;;;;8
CHARLY-SUR-MARNE;02163;422;100;;86;30;27
LE CHARMEL;02164;36;10;;;;
CHARMES;02165;245;62;;48;33;19
CHARTEVES;02166;45;14;;;;5
CHASSEMY;02167;109;42;;34;22;11
CHATEAU-THIERRY;02168;3227;569;12;483;158;93
CHATILLON-LES-SONS;02169;6;;;;;
CHATILLON-SUR-OISE;02170;16;6;;;;
CHAUDARDES;02171;11;;;;;
CHAUDUN;02172;31;8;;;;
CHAUNY;02173;2691;459;14;383;116;57
CHAVIGNON;02174;110;29;;23;17;
CHAVIGNY;02175;19;;;;;
CHAVONNE;02176;32;12;;;7;
